PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,PULL_UP_FGM,PULL_UP_FGA,PULL_UP_FG_PCT,PULL_UP_PTS,PULL_UP_FG3M,PULL_UP_FG3A,PULL_UP_FG3_PCT,PULL_UP_EFG_PCT,SEASON,SEASON_TYPE,PT_MEASURE_TYPE
1630235,Trent Forrest,1610612737,ATL,23,9,14,277.0,7,14,0.5,14,0.0,1.0,0.0,0.5,2022-23,Regular Season,PullUpShot
1630243,Trevelin Queen,1610612755,PHI,7,2,5,70.0,1,11,0.091,3,1.0,10.0,0.1,0.136,2022-23,Regular Season,PullUpShot
1631309,Trevor Hudgins,1610612745,HOU,5,0,5,28.0,0,5,0.0,0,0.0,5.0,0.0,0.0,2022-23,Regular Season,PullUpShot
1631211,Trevor Keels,1610612752,NYK,3,3,0,8.0,0,0,nan,0,0.0,0.0,nan,nan,2022-23,Regular Season,PullUpShot
1626168,Trey Lyles,1610612758,SAC,74,43,31,1247.0,7,26,0.269,19,5.0,21.0,0.238,0.365,2022-23,Regular Season,PullUpShot
1630530,Trey Murphy III,1610612740,NOP,79,39,40,2448.0,28,80,0.35,75,19.0,48.0,0.396,0.469,2022-23,Regular Season,PullUpShot
1628972,Troy Brown Jr.,1610612747,LAL,76,40,36,1860.0,22,67,0.328,54,10.0,32.0,0.313,0.403,2022-23,Regular Season,PullUpShot
1629660,Ty Jerome,1610612744,GSW,45,22,23,816.0,37,83,0.446,85,11.0,27.0,0.407,0.512,2022-23,Regular Season,PullUpShot
1631102,TyTy Washington Jr.,1610612745,HOU,31,6,25,433.0,26,74,0.351,57,5.0,23.0,0.217,0.385,2022-23,Regular Season,PullUpShot
1628416,Tyler Dorsey,1610612742,DAL,3,2,1,8.0,3,3,1.0,6,0.0,0.0,nan,1.0,2022-23,Regular Season,PullUpShot
1629639,Tyler Herro,1610612748,MIA,67,37,30,2335.0,212,539,0.393,520,96.0,260.0,0.369,0.482,2022-23,Regular Season,PullUpShot
1630169,Tyrese Haliburton,1610612754,IND,56,28,28,1883.0,174,417,0.417,470,122.0,307.0,0.397,0.564,2022-23,Regular Season,PullUpShot
1631213,Tyrese Martin,1610612737,ATL,16,10,6,66.0,3,5,0.6,7,1.0,1.0,1.0,0.7,2022-23,Regular Season,PullUpShot
1630178,Tyrese Maxey,1610612755,PHI,60,39,21,2016.0,140,336,0.417,340,60.0,155.0,0.387,0.506,2022-23,Regular Season,PullUpShot
1626145,Tyus Jones,1610612763,MEM,80,51,29,1939.0,140,315,0.444,315,35.0,96.0,0.365,0.5,2022-23,Regular Season,PullUpShot
1628962,Udoka Azubuike,1610612762,UTA,36,17,19,359.0,0,0,nan,0,nan,nan,nan,nan,2022-23,Regular Season,PullUpShot
2617,Udonis Haslem,1610612748,MIA,7,4,3,72.0,2,4,0.5,4,0.0,0.0,nan,0.5,2022-23,Regular Season,PullUpShot
1630586,Usman Garuba,1610612745,HOU,75,21,54,970.0,0,1,0.0,0,0.0,1.0,0.0,0.0,2022-23,Regular Season,PullUpShot
1630176,Vernon Carey Jr.,1610612762,UTA,11,8,3,28.0,0,0,nan,0,nan,nan,nan,nan,2022-23,Regular Season,PullUpShot
203506,Victor Oladipo,1610612748,MIA,42,23,19,1106.0,65,161,0.404,163,33.0,89.0,0.371,0.506,2022-23,Regular Season,PullUpShot
1631246,Vince Williams Jr.,1610612763,MEM,15,7,8,105.0,0,1,0.0,0,0.0,1.0,0.0,0.0,2022-23,Regular Season,PullUpShot
1628427,Vlatko Čančar,1610612743,DEN,60,38,22,889.0,4,14,0.286,11,3.0,8.0,0.375,0.393,2022-23,Regular Season,PullUpShot
1630249,Vít Krejčí,1610612737,ATL,29,15,14,165.0,3,7,0.429,8,2.0,5.0,0.4,0.571,2022-23,Regular Season,PullUpShot
1631117,Walker Kessler,1610612762,UTA,74,34,40,1703.0,0,0,nan,0,0.0,0.0,nan,nan,2022-23,Regular Season,PullUpShot
1628976,Wendell Carter Jr.,1610612753,ORL,57,26,31,1690.0,25,64,0.391,51,1.0,6.0,0.167,0.398,2022-23,Regular Season,PullUpShot
1631111,Wendell Moore Jr.,1610612750,MIN,29,16,13,153.0,1,5,0.2,3,1.0,2.0,0.5,0.3,2022-23,Regular Season,PullUpShot
1629117,Wenyen Gabriel,1610612747,LAL,68,37,31,1024.0,1,2,0.5,3,1.0,2.0,0.5,0.75,2022-23,Regular Season,PullUpShot
202083,Wesley Matthews,1610612749,MIL,52,37,15,820.0,6,22,0.273,16,4.0,15.0,0.267,0.364,2022-23,Regular Season,PullUpShot
203115,Will Barton,1610612761,TOR,56,27,29,993.0,45,137,0.328,114,24.0,76.0,0.316,0.416,2022-23,Regular Season,PullUpShot
1626195,Willy Hernangomez,1610612740,NOP,38,23,15,458.0,0,1,0.0,0,0.0,0.0,nan,0.0,2022-23,Regular Season,PullUpShot
1641645,Xavier Cooks,1610612764,WAS,10,2,8,126.0,0,2,0.0,0,0.0,1.0,0.0,0.0,2022-23,Regular Season,PullUpShot
1629875,Xavier Moon,1610612746,LAC,4,2,2,20.0,1,6,0.167,2,0.0,1.0,0.0,0.167,2022-23,Regular Season,PullUpShot
1630270,Xavier Sneed,1610612766,CHA,4,0,4,48.0,0,1,0.0,0,0.0,0.0,nan,0.0,2022-23,Regular Season,PullUpShot
1630214,Xavier Tillman,1610612763,MEM,61,40,21,1180.0,9,19,0.474,18,0.0,3.0,0.0,0.474,2022-23,Regular Season,PullUpShot
1629139,Yuta Watanabe,1610612751,BKN,58,30,28,928.0,4,18,0.222,8,0.0,4.0,0.0,0.222,2022-23,Regular Season,PullUpShot
1628380,Zach Collins,1610612759,SAS,63,20,43,1441.0,4,19,0.211,9,1.0,5.0,0.2,0.237,2022-23,Regular Season,PullUpShot
203897,Zach LaVine,1610612741,CHI,77,38,39,2768.0,228,589,0.387,558,102.0,298.0,0.342,0.474,2022-23,Regular Season,PullUpShot
1630192,Zeke Nnaji,1610612743,DEN,53,34,19,728.0,0,5,0.0,0,0.0,4.0,0.0,0.0,2022-23,Regular Season,PullUpShot
1630533,Ziaire Williams,1610612763,MEM,37,21,16,561.0,20,46,0.435,47,7.0,16.0,0.438,0.511,2022-23,Regular Season,PullUpShot
1629627,Zion Williamson,1610612740,NOP,29,17,12,956.0,7,22,0.318,15,1.0,4.0,0.25,0.341,2022-23,Regular Season,PullUpShot
