PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,OREB,OREB_CONTEST,OREB_UNCONTEST,OREB_CONTEST_PCT,OREB_CHANCES,OREB_CHANCE_PCT,OREB_CHANCE_DEFER,OREB_CHANCE_PCT_ADJ,SEASON,SEASON_TYPE,PT_MEASURE_TYPE,REBOUNDING_SCOPE
1630702,Jaden Hardy,1610612742,DAL,39,18,21,726.0,9,2,7,0.222,37,0.243,1,0.25,2024-25,Regular Season,Rebounding,offensive
1631093,Jaden Ivey,1610612765,DET,29,14,15,880.0,40,17,23,0.425,89,0.449,5,0.476,2024-25,Regular Season,Rebounding,offensive
1630183,Jaden McDaniels,1610612750,MIN,80,48,32,2564.0,129,68,60,0.527,283,0.456,9,0.471,2024-25,Regular Season,Rebounding,offensive
1630531,Jaden Springer,1610612762,UTA,28,11,17,311.0,17,10,7,0.588,43,0.395,1,0.405,2024-25,Regular Season,Rebounding,offensive
203109,Jae Crowder,1610612758,SAC,8,3,5,100.0,6,0,6,0.0,13,0.462,0,0.462,2024-25,Regular Season,Rebounding,offensive
1630256,Jae'Sean Tate,1610612745,HOU,42,30,12,544.0,50,25,25,0.5,113,0.442,7,0.472,2024-25,Regular Season,Rebounding,offensive
1626143,Jahlil Okafor,1610612754,IND,1,0,1,3.0,0,0,0,0.0,2,0.0,2,0.0,2024-25,Regular Season,Rebounding,offensive
1642443,Jahmir Young,1610612741,CHI,3,1,2,15.0,1,0,1,0.0,1,1.0,0,1.0,2024-25,Regular Season,Rebounding,offensive
1631170,Jaime Jaquez Jr.,1610612748,MIA,62,28,34,1338.0,84,44,41,0.524,217,0.387,14,0.414,2024-25,Regular Season,Rebounding,offensive
1631222,Jake LaRavia,1610612758,SAC,63,38,25,1309.0,90,47,41,0.522,188,0.479,6,0.495,2024-25,Regular Season,Rebounding,offensive
1627751,Jakob Poeltl,1610612761,TOR,57,21,36,1686.0,189,138,49,0.73,365,0.518,11,0.534,2024-25,Regular Season,Rebounding,offensive
1641779,Jalen Bridges,1610612756,PHX,3,0,3,13.0,0,0,0,0.0,0,0.0,0,0.0,2024-25,Regular Season,Rebounding,offensive
1628973,Jalen Brunson,1610612752,NYK,63,39,24,2228.0,26,4,22,0.154,84,0.31,3,0.321,2024-25,Regular Season,Rebounding,offensive
1631105,Jalen Duren,1610612765,DET,77,43,34,2021.0,277,191,83,0.69,600,0.462,13,0.472,2024-25,Regular Season,Rebounding,offensive
1630224,Jalen Green,1610612745,HOU,80,52,28,2660.0,45,20,26,0.444,142,0.317,7,0.333,2024-25,Regular Season,Rebounding,offensive
1641720,Jalen Hood-Schifino,1610612755,PHI,12,2,10,281.0,3,0,3,0.0,5,0.6,0,0.6,2024-25,Regular Season,Rebounding,offensive
1630552,Jalen Johnson,1610612737,ATL,36,18,18,1284.0,62,27,34,0.435,152,0.408,7,0.428,2024-25,Regular Season,Rebounding,offensive
1629618,Jalen Pickett,1610612743,DEN,35,22,13,593.0,15,5,10,0.333,30,0.5,0,0.5,2024-25,Regular Season,Rebounding,offensive
1630188,Jalen Smith,1610612741,CHI,64,28,36,962.0,89,59,29,0.663,183,0.486,2,0.492,2024-25,Regular Season,Rebounding,offensive
1630591,Jalen Suggs,1610612753,ORL,34,19,15,993.0,23,12,11,0.522,71,0.324,4,0.343,2024-25,Regular Season,Rebounding,offensive
1631114,Jalen Williams,1610612760,OKC,69,55,14,2237.0,59,25,34,0.424,165,0.358,10,0.381,2024-25,Regular Season,Rebounding,offensive
1630592,Jalen Wilson,1610612751,BKN,75,25,50,1963.0,75,38,37,0.507,193,0.389,2,0.393,2024-25,Regular Season,Rebounding,offensive
1631288,Jamal Cain,1610612740,NOP,28,2,26,463.0,27,14,13,0.519,54,0.5,1,0.509,2024-25,Regular Season,Rebounding,offensive
1627750,Jamal Murray,1610612743,DEN,64,40,24,2325.0,43,18,24,0.419,119,0.361,7,0.384,2024-25,Regular Season,Rebounding,offensive
1642347,Jamal Shead,1610612761,TOR,54,20,34,1128.0,30,9,21,0.3,67,0.448,3,0.469,2024-25,Regular Season,Rebounding,offensive
1631123,Jamaree Bouyea,1610612749,MIL,2,2,0,54.0,1,0,1,0.0,1,1.0,0,1.0,2024-25,Regular Season,Rebounding,offensive
201935,James Harden,1610612746,LAC,78,49,29,2755.0,55,21,35,0.382,208,0.264,9,0.276,2024-25,Regular Season,Rebounding,offensive
201949,James Johnson,1610612754,IND,4,1,3,17.0,0,0,0,0.0,1,0.0,1,0.0,2024-25,Regular Season,Rebounding,offensive
1630164,James Wiseman,1610612754,IND,1,1,0,5.0,0,0,0,0.0,0,0.0,0,0.0,2024-25,Regular Season,Rebounding,offensive
1642419,Jamison Battle,1610612761,TOR,51,19,32,972.0,37,18,19,0.486,74,0.5,4,0.529,2024-25,Regular Season,Rebounding,offensive
1641716,Jarace Walker,1610612754,IND,60,35,25,1048.0,25,12,13,0.48,61,0.41,0,0.41,2024-25,Regular Season,Rebounding,offensive
1630215,Jared Butler,1610612755,PHI,41,4,37,849.0,25,8,17,0.32,54,0.463,1,0.472,2024-25,Regular Season,Rebounding,offensive
1642272,Jared McCain,1610612755,PHI,21,6,15,536.0,13,4,9,0.308,38,0.342,2,0.361,2024-25,Regular Season,Rebounding,offensive
1631197,Jared Rhoden,1610612761,TOR,10,6,4,202.0,14,8,6,0.571,23,0.609,0,0.609,2024-25,Regular Season,Rebounding,offensive
1628991,Jaren Jackson Jr.,1610612763,MEM,72,42,30,2171.0,90,48,42,0.533,239,0.377,11,0.395,2024-25,Regular Season,Rebounding,offensive
1629020,Jarred Vanderbilt,1610612747,LAL,36,25,11,581.0,68,37,31,0.544,136,0.5,6,0.523,2024-25,Regular Season,Rebounding,offensive
1628386,Jarrett Allen,1610612739,CLE,81,64,17,2295.0,216,151,64,0.699,520,0.415,24,0.435,2024-25,Regular Season,Rebounding,offensive
1629750,Javonte Green,1610612739,CLE,62,20,42,1231.0,59,32,26,0.542,144,0.41,3,0.418,2024-25,Regular Season,Rebounding,offensive
1629637,Jaxson Hayes,1610612747,LAL,55,37,18,1076.0,78,45,33,0.577,173,0.451,3,0.459,2024-25,Regular Season,Rebounding,offensive
