PLAYER_ID,PLAYER_NAME,POSITION,TEAM_ID,TEAM_ABBREVIATION,AGE,PLAYER_HEIGHT,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GP,PTS,REB,AST,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT,SEASON,SEASON_TYPE
1629645,Kevin Porter Jr.,SG,1610612749,MIL,25.0,6-4,76,203.0,Southern California,USA,2019,1,30,75,10.3,3.7,3.4,1.1,0.029,0.148,0.248,0.531,0.276,2024-25,Regular Season
1626172,Kevon Looney,C,1610612744,GSW,29.0,6-9,81,222.0,UCLA,USA,2015,1,30,76,4.5,6.1,1.6,5.6,0.139,0.227,0.125,0.535,0.143,2024-25,Regular Season
1641718,Keyonte George,PG,1610612762,UTA,21.0,6-4,76,185.0,Baylor,USA,2023,1,16,67,16.8,3.8,5.6,-11.9,0.012,0.104,0.237,0.539,0.272,2024-25,Regular Season
203114,Khris Middleton,SF,1610612764,WAS,33.0,6-7,79,222.0,Texas A&M,USA,2012,2,39,37,11.9,3.7,4.1,1.5,0.015,0.132,0.208,0.588,0.251,2024-25,Regular Season
1630165,Killian Hayes,PG,1610612751,BKN,23.0,6-5,77,195.0,,France,2020,1,7,6,9.0,3.0,5.2,-5.7,0.028,0.087,0.145,0.559,0.274,2024-25,Regular Season
202691,Klay Thompson,SF,1610612742,DAL,35.0,6-5,77,220.0,Washington State,USA,2011,1,11,72,14.0,3.4,2.0,-2.4,0.022,0.097,0.214,0.552,0.104,2024-25,Regular Season
1641738,Kobe Brown,PF,1610612746,LAC,25.0,6-7,79,250.0,Missouri,USA,2023,1,30,40,1.9,1.6,0.6,-8.7,0.07,0.176,0.134,0.513,0.137,2024-25,Regular Season
1641723,Kobe Bufkin,SG,1610612737,ATL,21.0,6-4,76,195.0,Michigan,USA,2023,1,15,10,5.3,2.1,1.7,-8.0,0.035,0.123,0.203,0.483,0.213,2024-25,Regular Season
1627739,Kris Dunn,PG,1610612746,LAC,31.0,6-3,75,205.0,Providence,USA,2016,1,5,74,6.4,3.4,2.8,7.8,0.031,0.111,0.126,0.531,0.153,2024-25,Regular Season
1631200,Kris Murray,SF,1610612757,POR,24.0,6-8,80,216.0,Iowa,USA,2023,1,23,69,4.2,2.6,1.0,-1.8,0.066,0.096,0.133,0.472,0.09,2024-25,Regular Season
204001,Kristaps Porziņģis,C,1610612738,BOS,29.0,7-2,86,240.0,,Latvia,2015,1,4,42,19.5,6.8,2.1,5.8,0.054,0.163,0.253,0.618,0.113,2024-25,Regular Season
203937,Kyle Anderson,PF,1610612748,MIA,31.0,6-9,81,230.0,UCLA,USA,2014,1,30,61,5.9,3.4,2.4,-1.5,0.049,0.148,0.152,0.538,0.211,2024-25,Regular Season
1642271,Kyle Filipowski,C,1610612762,UTA,21.0,6-11,83,250.0,Duke,USA,2024,2,32,72,9.6,6.1,1.9,-11.3,0.07,0.213,0.184,0.594,0.14,2024-25,Regular Season
1628398,Kyle Kuzma,PF,1610612749,MIL,29.0,6-9,81,221.0,Utah,USA,2017,1,27,65,14.8,5.7,2.3,-10.3,0.027,0.155,0.233,0.514,0.123,2024-25,Regular Season
