PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,CATCH_SHOOT_FGM,CATCH_SHOOT_FGA,CATCH_SHOOT_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG3M,CATCH_SHOOT_FG3A,CATCH_SHOOT_FG3_PCT,CATCH_SHOOT_EFG_PCT,SEASON,SEASON_TYPE,PT_MEASURE_TYPE
1631098,Johnny Davis,1610612764,WAS,50,8,42,613.0,13,36,0.361,39,13.0,34.0,0.382,0.542,2023-24,Regular Season,CatchShoot
1630548,Johnny Juzang,1610612762,UTA,20,5,15,372.0,31,67,0.463,92,30.0,66.0,0.455,0.687,2023-24,Regular Season,CatchShoot
202685,Jonas Valančiūnas,1610612740,NOP,82,49,33,1925.0,81,201,0.403,196,34.0,109.0,0.312,0.488,2023-24,Regular Season,CatchShoot
1628371,Jonathan Isaac,1610612753,ORL,58,35,23,915.0,46,118,0.39,132,40.0,106.0,0.377,0.559,2023-24,Regular Season,CatchShoot
1630228,Jonathan Kuminga,1610612744,GSW,74,40,34,1950.0,51,145,0.352,144,42.0,128.0,0.328,0.497,2023-24,Regular Season,CatchShoot
1629007,Jontay Porter,1610612765,DET,26,6,20,360.0,19,61,0.311,57,19.0,56.0,0.339,0.467,2023-24,Regular Season,CatchShoot
203903,Jordan Clarkson,1610612762,UTA,55,22,33,1682.0,59,169,0.349,171,53.0,159.0,0.333,0.506,2023-24,Regular Season,CatchShoot
1630259,Jordan Ford,1610612758,SAC,6,2,4,22.0,1,2,0.5,3,1.0,2.0,0.5,0.75,2023-24,Regular Season,CatchShoot
1630692,Jordan Goodwin,1610612763,MEM,57,30,27,1056.0,33,106,0.311,97,31.0,97.0,0.32,0.458,2023-24,Regular Season,CatchShoot
1641722,Jordan Hawkins,1610612740,NOP,67,38,29,1161.0,99,255,0.388,293,95.0,245.0,0.388,0.575,2023-24,Regular Season,CatchShoot
1629162,Jordan McLaughlin,1610612750,MIN,56,35,21,626.0,36,75,0.48,107,35.0,74.0,0.473,0.713,2023-24,Regular Season,CatchShoot
1641757,Jordan Miller,1610612746,LAC,8,5,3,28.0,1,2,0.5,3,1.0,2.0,0.5,0.75,2023-24,Regular Season,CatchShoot
1629670,Jordan Nwora,1610612761,TOR,52,14,38,711.0,34,95,0.358,101,33.0,92.0,0.359,0.532,2023-24,Regular Season,CatchShoot
1629673,Jordan Poole,1610612764,WAS,78,15,63,2346.0,104,299,0.348,308,100.0,286.0,0.35,0.515,2023-24,Regular Season,CatchShoot
1641775,Jordan Walsh,1610612738,BOS,9,9,0,83.0,2,9,0.222,6,2.0,9.0,0.222,0.333,2023-24,Regular Season,CatchShoot
1630631,Jose Alvarado,1610612740,NOP,56,38,18,1028.0,62,166,0.373,186,62.0,166.0,0.373,0.56,2023-24,Regular Season,CatchShoot
1630581,Josh Giddey,1610612760,OKC,80,56,24,2012.0,84,237,0.354,243,75.0,218.0,0.344,0.513,2023-24,Regular Season,CatchShoot
1630182,Josh Green,1610612742,DAL,57,32,25,1505.0,67,174,0.385,201,67.0,173.0,0.387,0.578,2023-24,Regular Season,CatchShoot
1628404,Josh Hart,1610612752,NYK,81,49,32,2707.0,64,195,0.328,190,62.0,189.0,0.328,0.487,2023-24,Regular Season,CatchShoot
1631169,Josh Minott,1610612750,MIN,32,23,9,91.0,4,9,0.444,12,4.0,9.0,0.444,0.667,2023-24,Regular Season,CatchShoot
1629006,Josh Okogie,1610612756,PHX,60,37,23,960.0,26,86,0.302,78,26.0,86.0,0.302,0.453,2023-24,Regular Season,CatchShoot
1626196,Josh Richardson,1610612748,MIA,43,24,19,1103.0,66,176,0.375,194,62.0,170.0,0.365,0.551,2023-24,Regular Season,CatchShoot
1630563,Joshua Primo,1610612746,LAC,2,2,0,10.0,0,1,0.0,0,nan,nan,nan,0.0,2023-24,Regular Season,CatchShoot
201950,Jrue Holiday,1610612738,BOS,69,53,16,2263.0,78,170,0.459,231,75.0,164.0,0.457,0.679,2023-24,Regular Season,CatchShoot
1629308,Juan Toscano-Anderson,1610612758,SAC,11,7,4,53.0,1,4,0.25,3,1.0,4.0,0.25,0.375,2023-24,Regular Season,CatchShoot
1631262,Jules Bernard,1610612764,WAS,19,2,17,149.0,7,20,0.35,21,7.0,19.0,0.368,0.525,2023-24,Regular Season,CatchShoot
1630577,Julian Champagnie,1610612759,SAS,74,19,55,1468.0,91,260,0.35,272,90.0,257.0,0.35,0.523,2023-24,Regular Season,CatchShoot
