PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,TOUCHES,PAINT_TOUCHES,PAINT_TOUCH_FGM,PAINT_TOUCH_FGA,PAINT_TOUCH_FG_PCT,PAINT_TOUCH_FTM,PAINT_TOUCH_FTA,PAINT_TOUCH_FT_PCT,PAINT_TOUCH_PTS,PAINT_TOUCH_PTS_PCT,PAINT_TOUCH_PASSES,PAINT_TOUCH_PASSES_PCT,PAINT_TOUCH_AST,PAINT_TOUCH_AST_PCT,PAINT_TOUCH_TOV,PAINT_TOUCH_TOV_PCT,PAINT_TOUCH_FOULS,PAINT_TOUCH_FOULS_PCT,SEASON,SEASON_TYPE,PT_MEASURE_TYPE
1630574,Ariel Hukporti,1610612752,NYK,52,34,18,455.0,461,119,28,44,0.636,18,22,0.818,75,0.63,48,0.403,6,0.05,10,0.084,11,0.092,2025-26,Regular Season,PaintTouch
1642854,Asa Newell,1610612737,ATL,42,22,20,453.0,583,63,28,39,0.718,3,6,0.5,61,0.968,16,0.254,3,0.048,2,0.032,3,0.048,2025-26,Regular Season,PaintTouch
1641709,Ausar Thompson,1610612765,DET,68,49,19,1769.0,2791,304,105,171,0.614,10,28,0.357,223,0.734,97,0.319,25,0.082,15,0.049,12,0.039,2025-26,Regular Season,PaintTouch
1630559,Austin Reaves,1610612747,LAL,51,36,15,1762.0,3705,43,14,19,0.737,6,6,1.0,35,0.814,16,0.372,4,0.093,3,0.07,3,0.07,2025-26,Regular Season,PaintTouch
1630245,Ayo Dosunmu,1610612750,MIN,66,34,32,1787.0,3500,61,18,35,0.514,10,12,0.833,46,0.754,15,0.246,2,0.033,2,0.033,6,0.098,2025-26,Regular Season,PaintTouch
1628389,Bam Adebayo,1610612748,MIA,68,34,34,2199.0,3927,285,113,171,0.661,36,46,0.783,266,0.933,69,0.242,9,0.032,10,0.035,23,0.081,2025-26,Regular Season,PaintTouch
1631248,Baylor Scheierman,1610612738,BOS,72,50,22,1309.0,1510,35,7,9,0.778,0,0,0.0,14,0.4,22,0.629,4,0.114,2,0.057,0,0.0,2025-26,Regular Season,PaintTouch
1642879,Ben Saraf,1610612751,BKN,40,9,31,785.0,1805,28,6,12,0.5,4,4,1.0,16,0.571,12,0.429,1,0.036,1,0.036,2,0.071,2025-26,Regular Season,PaintTouch
1641767,Ben Sheppard,1610612754,IND,65,16,49,1390.0,2203,53,11,20,0.55,4,6,0.667,26,0.491,29,0.547,3,0.057,0,0.0,3,0.057,2025-26,Regular Season,PaintTouch
1631097,Bennedict Mathurin,1610612746,LAC,49,19,30,1504.0,2571,122,48,67,0.716,36,41,0.878,134,1.098,25,0.205,3,0.025,4,0.033,19,0.156,2025-26,Regular Season,PaintTouch
1643016,Bez Mbeng,1610612762,UTA,12,1,11,358.0,436,17,5,7,0.714,1,2,0.5,11,0.647,6,0.353,1,0.059,1,0.059,0,0.0,2025-26,Regular Season,PaintTouch
1641731,Bilal Coulibaly,1610612764,WAS,53,14,39,1397.0,2398,106,40,59,0.678,14,20,0.7,97,0.915,27,0.255,4,0.038,7,0.066,10,0.094,2025-26,Regular Season,PaintTouch
202687,Bismack Biyombo,1610612759,SAS,24,20,4,136.0,159,21,7,12,0.583,1,2,0.5,15,0.714,4,0.19,0,0.0,2,0.095,1,0.048,2025-26,Regular Season,PaintTouch
1642396,Blake Hinson,1610612762,UTA,11,3,8,214.0,255,10,3,7,0.429,0,0,0.0,6,0.6,2,0.2,1,0.1,1,0.1,0,0.0,2025-26,Regular Season,PaintTouch
1631104,Blake Wesley,1610612757,POR,28,18,10,353.0,758,14,5,9,0.556,0,0,0.0,10,0.714,4,0.286,1,0.071,1,0.071,0,0.0,2025-26,Regular Season,PaintTouch
1626171,Bobby Portis,1610612749,MIL,67,26,41,1619.0,3093,181,78,125,0.624,10,14,0.714,169,0.934,38,0.21,8,0.044,7,0.039,6,0.033,2025-26,Regular Season,PaintTouch
1641752,Bobi Klintman,1610612765,DET,12,8,4,71.0,101,9,1,4,0.25,0,0,0.0,2,0.222,4,0.444,1,0.111,0,0.0,0,0.0,2025-26,Regular Season,PaintTouch
203992,Bogdan Bogdanović,1610612746,LAC,21,6,15,429.0,755,6,2,4,0.5,0,0,0.0,4,0.667,1,0.167,1,0.167,1,0.167,0,0.0,2025-26,Regular Season,PaintTouch
1630538,Bones Hyland,1610612750,MIN,68,41,27,1105.0,2595,20,4,7,0.571,0,0,0.0,8,0.4,12,0.6,2,0.1,1,0.05,0,0.0,2025-26,Regular Season,PaintTouch
203078,Bradley Beal,1610612746,LAC,6,2,4,121.0,177,7,2,4,0.5,4,4,1.0,8,1.143,1,0.143,1,0.143,0,0.0,2,0.286,2025-26,Regular Season,PaintTouch
1642382,Branden Carlson,1610612760,OKC,38,30,8,393.0,550,87,44,57,0.772,3,6,0.5,92,1.057,21,0.241,7,0.08,5,0.057,3,0.034,2025-26,Regular Season,PaintTouch
1641764,Brandin Podziemski,1610612744,GSW,77,36,41,2189.0,4696,127,33,50,0.66,9,10,0.9,76,0.598,57,0.449,11,0.087,8,0.063,5,0.039,2025-26,Regular Season,PaintTouch
1629634,Brandon Clarke,1610612763,MEM,2,1,1,20.0,27,5,2,4,0.5,0,0,0.0,4,0.8,1,0.2,1,0.2,0,0.0,0,0.0,2025-26,Regular Season,PaintTouch
1627742,Brandon Ingram,1610612761,TOR,72,40,32,2437.0,3951,120,45,67,0.672,18,22,0.818,109,0.908,29,0.242,7,0.058,6,0.05,10,0.083,2025-26,Regular Season,PaintTouch
1641706,Brandon Miller,1610612766,CHA,61,39,22,1842.0,3614,112,45,59,0.763,5,6,0.833,96,0.857,40,0.357,7,0.063,7,0.063,3,0.027,2025-26,Regular Season,PaintTouch
1630314,Brandon Williams,1610612742,DAL,65,22,43,1438.0,3148,41,9,13,0.692,5,6,0.833,24,0.585,20,0.488,4,0.098,3,0.073,3,0.073,2025-26,Regular Season,PaintTouch
1641729,Brice Sensabaugh,1610612762,UTA,72,18,54,1679.0,2595,59,13,31,0.419,7,8,0.875,37,0.627,16,0.271,1,0.017,2,0.034,6,0.102,2025-26,Regular Season,PaintTouch
1642355,Bronny James,1610612747,LAL,37,21,16,292.0,559,9,3,4,0.75,0,0,0.0,6,0.667,4,0.444,0,0.0,1,0.111,0,0.0,2025-26,Regular Season,PaintTouch
201572,Brook Lopez,1610612746,LAC,70,38,32,1502.0,1773,120,44,71,0.62,15,20,0.75,107,0.892,26,0.217,4,0.033,9,0.075,9,0.075,2025-26,Regular Season,PaintTouch
1642964,Brooks Barnhizer,1610612760,OKC,37,28,9,283.0,303,18,4,6,0.667,0,0,0.0,8,0.444,10,0.556,0,0.0,1,0.056,0,0.0,2025-26,Regular Season,PaintTouch
1628971,Bruce Brown,1610612743,DEN,77,49,28,1883.0,2839,183,57,107,0.533,20,26,0.769,139,0.76,47,0.257,9,0.049,12,0.066,14,0.077,2025-26,Regular Season,PaintTouch
1631121,Bryce McGowens,1610612740,NOP,42,14,28,880.0,1147,22,8,10,0.8,7,8,0.875,23,1.045,6,0.273,1,0.045,2,0.091,4,0.182,2025-26,Regular Season,PaintTouch
1642267,Bub Carrington,1610612764,WAS,76,17,59,2100.0,4475,39,8,14,0.571,1,4,0.25,18,0.462,19,0.487,7,0.179,2,0.051,2,0.051,2025-26,Regular Season,PaintTouch
