PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,G,MIN,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,BOX_OUTS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB,SEASON,SEASON_TYPE
1628418,Thomas Bryant,1610612739,CLE,28.0,56,695.0,178,152,26,35,1,56,129,9,4,13,0.692,0.308,14,32,46,32,46,0.304,0.696,1.0,0.696,2025-26,Regular Season
1642275,Tidjane Salaün,1610612766,CHA,20.0,33,565.0,95,54,41,37,1,18,44,3,6,9,0.333,0.667,3,19,22,14,22,0.136,0.864,1.0,0.636,2025-26,Regular Season
203501,Tim Hardaway Jr.,1610612743,DEN,34.0,75,2021.0,221,115,106,66,7,30,72,5,10,15,0.333,0.667,1,17,18,9,18,0.056,0.944,1.0,0.5,2025-26,Regular Season
202699,Tobias Harris,1610612765,DET,33.0,58,1643.0,232,121,111,80,0,21,46,14,16,30,0.467,0.533,5,53,57,29,58,0.086,0.914,1.0,0.509,2025-26,Regular Season
1643253,Toby Okani,1610612763,MEM,24.0,1,28.0,2,2,0,3,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,2025-26,Regular Season
1642449,Tolu Smith,1610612765,DET,25.0,10,114.0,27,19,8,3,0,15,38,1,0,1,1.0,0.0,5,10,15,11,15,0.333,0.667,1.0,0.733,2025-26,Regular Season
1628396,Tony Bradley,1610612754,IND,28.0,35,409.0,107,78,29,13,0,33,77,4,3,7,0.571,0.429,13,26,39,23,39,0.333,0.667,1.0,0.59,2025-26,Regular Season
1641787,Tosan Evbuomwan,1610612766,CHA,25.0,2,5.0,3,2,1,0,0,0,0,1,0,1,1.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,2025-26,Regular Season
1641739,Toumani Camara,1610612757,POR,25.0,78,2590.0,402,239,163,200,18,62,150,22,17,39,0.564,0.436,14,35,48,22,49,0.286,0.714,0.98,0.449,2025-26,Regular Season
1629027,Trae Young,1610612764,WAS,27.0,15,384.0,16,7,9,23,1,2,4,4,3,7,0.571,0.429,0,4,4,2,4,0.0,1.0,1.0,0.5,2025-26,Regular Season
1631218,Trayce Jackson-Davis,1610612761,TOR,26.0,46,477.0,172,134,38,28,0,56,132,8,4,12,0.667,0.333,21,24,43,31,45,0.467,0.533,0.956,0.689,2025-26,Regular Season
