PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,DRIBBLE_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT,SEASON,SEASON_TYPE
1642353,"Christie, Cam",5,51,9,7+ Dribbles,0.083,3,11,0.273,0.273,0.061,3,8,0.375,0.023,0,3,0.0,2025-26,Regular Season
1642285,"Spencer, Cam",1,71,64,0 Dribbles,0.322,85,177,0.48,0.672,0.049,17,27,0.63,0.273,68,150,0.453,2025-26,Regular Season
1642285,"Spencer, Cam",2,71,46,1 Dribble,0.144,42,79,0.532,0.703,0.053,15,29,0.517,0.091,27,50,0.54,2025-26,Regular Season
1642285,"Spencer, Cam",3,71,43,2 Dribbles,0.131,32,72,0.444,0.563,0.065,15,36,0.417,0.065,17,36,0.472,2025-26,Regular Season
1642285,"Spencer, Cam",4,71,64,3-6 Dribbles,0.267,64,147,0.435,0.52,0.153,39,84,0.464,0.115,25,63,0.397,2025-26,Regular Season
1642285,"Spencer, Cam",5,71,47,7+ Dribbles,0.136,36,75,0.48,0.527,0.093,29,51,0.569,0.044,7,24,0.292,2025-26,Regular Season
1630560,"Thomas, Cam",1,42,13,0 Dribbles,0.176,9,27,0.333,0.426,0.052,4,8,0.5,0.124,5,19,0.263,2025-26,Regular Season
1630560,"Thomas, Cam",2,42,8,1 Dribble,0.098,7,15,0.467,0.5,0.065,6,10,0.6,0.033,1,5,0.2,2025-26,Regular Season
1630560,"Thomas, Cam",3,42,13,2 Dribbles,0.144,5,22,0.227,0.25,0.105,4,16,0.25,0.039,1,6,0.167,2025-26,Regular Season
1630560,"Thomas, Cam",4,42,15,3-6 Dribbles,0.275,18,42,0.429,0.44,0.216,17,33,0.515,0.059,1,9,0.111,2025-26,Regular Season
1630560,"Thomas, Cam",5,42,12,7+ Dribbles,0.307,27,47,0.574,0.638,0.229,21,35,0.6,0.078,6,12,0.5,2025-26,Regular Season
1641715,"Whitmore, Cam",1,21,17,0 Dribbles,0.26,26,44,0.591,0.659,0.166,20,28,0.714,0.095,6,16,0.375,2025-26,Regular Season
1641715,"Whitmore, Cam",2,21,15,1 Dribble,0.189,13,32,0.406,0.453,0.124,10,21,0.476,0.065,3,11,0.273,2025-26,Regular Season
1641715,"Whitmore, Cam",3,21,15,2 Dribbles,0.178,11,30,0.367,0.367,0.124,11,21,0.524,0.053,0,9,0.0,2025-26,Regular Season
1641715,"Whitmore, Cam",4,21,20,3-6 Dribbles,0.302,25,51,0.49,0.549,0.219,19,37,0.514,0.083,6,14,0.429,2025-26,Regular Season
1641715,"Whitmore, Cam",5,21,8,7+ Dribbles,0.071,2,12,0.167,0.208,0.036,1,6,0.167,0.036,1,6,0.167,2025-26,Regular Season
1629661,"Johnson, Cameron",1,51,51,0 Dribbles,0.579,123,256,0.48,0.648,0.115,37,51,0.725,0.464,86,205,0.42,2025-26,Regular Season
1629661,"Johnson, Cameron",2,51,37,1 Dribble,0.145,35,64,0.547,0.617,0.104,26,46,0.565,0.041,9,18,0.5,2025-26,Regular Season
1629661,"Johnson, Cameron",3,51,34,2 Dribbles,0.138,25,61,0.41,0.451,0.118,20,52,0.385,0.02,5,9,0.556,2025-26,Regular Season
1629661,"Johnson, Cameron",4,51,30,3-6 Dribbles,0.1,18,44,0.409,0.432,0.088,16,39,0.41,0.011,2,5,0.4,2025-26,Regular Season
1629661,"Johnson, Cameron",5,51,13,7+ Dribbles,0.038,7,17,0.412,0.441,0.032,6,14,0.429,0.007,1,3,0.333,2025-26,Regular Season
1626166,"Payne, Cameron",1,21,15,0 Dribbles,0.301,15,44,0.341,0.5,0.014,1,2,0.5,0.288,14,42,0.333,2025-26,Regular Season
1626166,"Payne, Cameron",2,21,8,1 Dribble,0.082,5,12,0.417,0.5,0.027,3,4,0.75,0.055,2,8,0.25,2025-26,Regular Season
1626166,"Payne, Cameron",3,21,13,2 Dribbles,0.137,6,20,0.3,0.375,0.048,3,7,0.429,0.089,3,13,0.231,2025-26,Regular Season
1626166,"Payne, Cameron",4,21,15,3-6 Dribbles,0.219,15,32,0.469,0.594,0.11,7,16,0.438,0.11,8,16,0.5,2025-26,Regular Season
1626166,"Payne, Cameron",5,21,19,7+ Dribbles,0.26,14,38,0.368,0.434,0.151,9,22,0.409,0.11,5,16,0.313,2025-26,Regular Season
1627747,"LeVert, Caris",1,56,50,0 Dribbles,0.363,54,133,0.406,0.541,0.077,18,28,0.643,0.287,36,105,0.343,2025-26,Regular Season
1627747,"LeVert, Caris",2,56,30,1 Dribble,0.104,16,38,0.421,0.487,0.049,11,18,0.611,0.055,5,20,0.25,2025-26,Regular Season
1627747,"LeVert, Caris",3,56,25,2 Dribbles,0.12,21,44,0.477,0.523,0.096,17,35,0.486,0.025,4,9,0.444,2025-26,Regular Season
1627747,"LeVert, Caris",4,56,48,3-6 Dribbles,0.249,41,91,0.451,0.478,0.197,36,72,0.5,0.052,5,19,0.263,2025-26,Regular Season
1627747,"LeVert, Caris",5,56,34,7+ Dribbles,0.164,23,60,0.383,0.442,0.109,16,40,0.4,0.055,7,20,0.35,2025-26,Regular Season
1642868,"Bryant, Carter",1,66,53,0 Dribbles,0.687,67,160,0.419,0.544,0.15,27,35,0.771,0.536,40,125,0.32,2025-26,Regular Season
1642868,"Bryant, Carter",2,66,20,1 Dribble,0.112,5,26,0.192,0.192,0.09,5,21,0.238,0.021,0,5,0.0,2025-26,Regular Season
