PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,DIST_FEET,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF,SEASON,SEASON_TYPE,PT_MEASURE_TYPE
1642353,Cam Christie,1610612746,LAC,51,24,27,461.0,186552,35.3,18.5,16.8,4.46,4.66,4.26,2025-26,Regular Season,SpeedDistance
1642285,Cam Spencer,1610612763,MEM,71,23,48,1694.0,689764,130.6,71.3,59.3,4.48,4.94,4.03,2025-26,Regular Season,SpeedDistance
1630560,Cam Thomas,1610612749,MIL,42,12,30,881.0,346015,65.5,36.3,29.2,4.28,4.58,3.97,2025-26,Regular Season,SpeedDistance
1641715,Cam Whitmore,1610612764,WAS,21,3,18,354.0,128954,24.4,13.0,11.5,4.34,4.73,4.01,2025-26,Regular Season,SpeedDistance
1629661,Cameron Johnson,1610612743,DEN,51,34,17,1541.0,576653,109.2,59.0,50.2,4.21,4.52,3.89,2025-26,Regular Season,SpeedDistance
1626166,Cameron Payne,1610612755,PHI,21,12,9,366.0,150874,28.6,15.9,12.7,4.34,4.75,3.92,2025-26,Regular Season,SpeedDistance
1627747,Caris LeVert,1610612765,DET,56,40,16,1085.0,420618,79.7,43.0,36.6,4.31,4.66,3.95,2025-26,Regular Season,SpeedDistance
1642868,Carter Bryant,1610612759,SAS,66,53,13,720.0,292119,55.3,27.2,28.1,4.48,4.5,4.46,2025-26,Regular Season,SpeedDistance
1641717,Cason Wallace,1610612760,OKC,74,58,16,1980.0,789143,149.5,76.7,72.8,4.42,4.63,4.23,2025-26,Regular Season,SpeedDistance
1642907,Cedric Coward,1610612763,MEM,60,20,40,1559.0,633252,119.9,62.6,57.4,4.53,4.84,4.24,2025-26,Regular Season,SpeedDistance
1643052,Chaney Johnson,1610612751,BKN,14,2,12,282.0,115976,22.0,11.2,10.8,4.31,4.52,4.12,2025-26,Regular Season,SpeedDistance
1629646,Charles Bassey,1610612738,BOS,8,3,5,52.0,20228,3.8,2.0,1.8,4.32,4.57,4.08,2025-26,Regular Season,SpeedDistance
1642404,Chaz Lanier,1610612765,DET,29,24,5,230.0,91548,17.3,9.3,8.0,4.43,4.58,4.27,2025-26,Regular Season,SpeedDistance
1631096,Chet Holmgren,1610612760,OKC,66,53,13,1922.0,741281,140.4,74.7,65.7,4.27,4.62,3.92,2025-26,Regular Season,SpeedDistance
1628449,Chris Boucher,1610612738,BOS,9,4,5,94.0,33926,6.4,3.2,3.2,4.27,4.29,4.24,2025-26,Regular Season,SpeedDistance
1641753,Chris Livingston,1610612739,CLE,3,2,1,17.0,6678,1.3,0.7,0.6,4.67,4.81,4.52,2025-26,Regular Season,SpeedDistance
1643024,Chris Mañon,1610612747,LAL,6,2,4,25.0,9845,1.9,0.9,1.0,4.16,4.13,4.18,2025-26,Regular Season,SpeedDistance
101108,Chris Paul,1610612746,LAC,16,4,12,228.0,74409,14.1,7.8,6.3,3.93,4.07,3.77,2025-26,Regular Season,SpeedDistance
1642959,Chris Youngblood,1610612757,POR,33,28,5,183.0,73042,13.8,7.4,6.4,4.45,4.72,4.18,2025-26,Regular Season,SpeedDistance
1631128,Christian Braun,1610612743,DEN,41,26,15,1294.0,510218,96.6,50.5,46.1,4.32,4.51,4.13,2025-26,Regular Season,SpeedDistance
1631132,Christian Koloko,1610612737,ATL,26,16,10,335.0,139047,26.3,13.5,12.8,4.4,4.63,4.19,2025-26,Regular Season,SpeedDistance
1642935,Chucky Hepburn,1610612761,TOR,2,0,2,13.0,5455,1.0,0.5,0.5,4.85,5.36,4.43,2025-26,Regular Season,SpeedDistance
203991,Clint Capela,1610612745,HOU,70,43,27,868.0,319939,60.6,32.5,28.1,4.05,4.15,3.94,2025-26,Regular Season,SpeedDistance
1629632,Coby White,1610612766,CHA,47,27,20,1198.0,462875,87.7,48.5,39.2,4.21,4.65,3.77,2025-26,Regular Season,SpeedDistance
1628998,Cody Martin,1610612754,IND,4,0,4,55.0,21586,4.1,2.1,2.0,4.67,5.2,4.21,2025-26,Regular Season,SpeedDistance
1642262,Cody Williams,1610612762,UTA,63,15,48,1487.0,635429,120.3,63.3,57.0,4.6,4.88,4.32,2025-26,Regular Season,SpeedDistance
1641732,Colby Jones,1610612765,DET,1,0,1,7.0,2799,0.5,0.2,0.3,4.51,4.58,4.46,2025-26,Regular Season,SpeedDistance
