GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,FGM,FGA,FG_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PCT_FGA_2PT_RANK,PCT_FGA_3PT_RANK,PCT_PTS_2PT_RANK,PCT_PTS_2PT_MR_RANK,PCT_PTS_3PT_RANK,PCT_PTS_FB_RANK,PCT_PTS_FT_RANK,PCT_PTS_OFF_TOV_RANK,PCT_PTS_PAINT_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,TEAM_COUNT,SEASON,SEASON_TYPE,MEASURE_TYPE
Players,1641740,Jaylen Clark,Jaylen,1610612750,MIN,24.0,11,5,6,0.455,0.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,1,1.0,265,256,225,280,467,1,338,1,132,247,183,303,247,1,285,1,242,73,334,1,309,362,1,1,2025-26,Regular Season,Scoring
Players,1642377,Jaylen Wells,Jaylen,1610612763,MEM,22.0,30,12,18,0.4,3.2,0.594,0.406,0.615,0.154,0.231,0.154,0.154,0.0,0.462,0.5,0.5,1.0,0.0,0.6,0.4,10,32,0.313,44,103,462,330,133,189,217,103,36,191,70,254,247,141,141,147,1,73,192,151,93,65,299,1,2025-26,Regular Season,Scoring
Players,1631119,Jaylin Williams,Jaylin,1610612760,OKC,23.0,18,11,7,0.611,2.1,0.2,0.8,0.182,0.0,0.545,0.0,0.273,0.273,0.182,1.0,0.0,1.0,0.0,1.0,0.0,3,5,0.6,172,115,251,113,311,357,43,312,132,58,183,157,71,292,1,258,1,73,1,266,231,268,68,1,2025-26,Regular Season,Scoring
Players,1642281,Jaylon Tyson,Jaylon,1610612739,CLE,23.0,20,11,9,0.55,3.2,0.55,0.45,0.214,0.0,0.429,0.0,0.357,0.071,0.214,1.0,0.0,1.0,0.0,1.0,0.0,7,20,0.35,147,115,303,173,141,214,192,306,132,104,183,94,222,280,1,258,1,73,1,266,146,121,268,1,2025-26,Regular Season,Scoring
Players,1628369,Jayson Tatum,Jayson,1610612738,BOS,28.0,4,3,1,0.75,2.4,1.0,0.0,0.444,0.0,0.0,0.222,0.556,0.222,0.444,0.5,0.5,0.0,0.0,0.5,0.5,2,4,0.5,371,308,36,43,260,1,338,181,132,247,39,31,88,149,141,147,242,73,227,94,265,286,119,1,2025-26,Regular Season,Scoring
Players,203924,Jerami Grant,Jerami,1610612757,POR,32.0,29,12,17,0.414,2.9,0.353,0.647,0.225,0.0,0.465,0.07,0.31,0.113,0.225,0.625,0.375,1.0,0.0,0.842,0.158,19,34,0.559,49,103,452,327,180,312,94,305,132,95,136,134,187,278,121,209,1,73,102,254,39,56,93,1,2025-26,Regular Season,Scoring
Players,1642847,Jeremiah Fears,Jeremiah,1610612740,NOP,19.0,24,5,19,0.208,2.7,0.647,0.353,0.375,0.0,0.188,0.063,0.437,0.5,0.375,0.667,0.333,1.0,0.0,0.75,0.25,4,17,0.235,105,256,472,419,223,163,243,228,132,214,141,55,14,187,101,215,1,73,125,209,206,144,337,1,2025-26,Regular Season,Scoring
Players,1630526,Jeremiah Robinson-Earl,Jeremiah,1610612742,DAL,25.0,2,0,2,0.0,1.3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,412,438,86,438,388,377,1,333,132,247,183,303,247,321,285,258,242,73,334,266,356,362,356,1,2025-26,Regular Season,Scoring
Players,1631110,Jeremy Sochan,Jeremy,1610612752,NYK,22.0,7,5,2,0.714,1.5,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,2,0.5,309,256,86,57,372,230,147,1,132,247,183,303,247,1,1,258,242,73,1,266,309,330,119,2,2025-26,Regular Season,Scoring
Players,1630579,Jericho Sims,Jericho,1610612749,MIL,27.0,12,8,4,0.667,2.2,1.0,0.0,0.8,0.0,0.0,0.0,0.2,0.3,0.8,0.25,0.75,0.0,0.0,0.25,0.75,4,4,1.0,247,180,151,72,293,1,338,49,132,247,183,208,60,41,248,75,242,73,318,36,206,286,1,1,2025-26,Regular Season,Scoring
Players,1641724,Jett Howard,Jett,1610612753,ORL,22.0,4,1,3,0.25,0.2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,371,383,123,402,465,1,338,333,132,247,183,303,247,321,285,258,242,73,334,266,356,362,356,1,2025-26,Regular Season,Scoring
Players,1628975,Jevon Carter,Jevon,1610612753,ORL,30.0,7,3,4,0.429,2.2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,3,0.333,309,308,151,306,298,377,1,333,132,1,183,303,1,321,285,258,1,73,1,266,309,306,273,2,2025-26,Regular Season,Scoring
Players,202710,Jimmy Butler III,Jimmy,1610612744,GSW,36.0,16,7,9,0.438,3.5,0.842,0.158,0.4,0.08,0.36,0.12,0.24,0.12,0.32,0.6,0.4,1.0,0.0,0.75,0.25,8,19,0.421,193,204,303,301,94,93,313,203,83,137,97,187,180,227,127,202,1,73,125,209,124,128,211,1,2025-26,Regular Season,Scoring
Players,1642866,Joan Beringer,Joan,1610612750,MIN,19.0,1,0,1,0.0,4.1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,442,438,36,438,43,1,338,333,132,247,183,303,247,321,285,258,242,73,334,266,356,362,356,1,2025-26,Regular Season,Scoring
Players,1629111,Jock Landale,Jock,1610612737,ATL,30.0,24,8,16,0.333,2.2,0.467,0.533,0.261,0.0,0.652,0.0,0.087,0.348,0.261,0.667,0.333,0.8,0.2,0.75,0.25,8,15,0.533,105,180,437,365,288,265,141,287,132,31,183,288,41,256,101,215,188,54,125,209,124,163,104,2,2025-26,Regular Season,Scoring
Players,204060,Joe Ingles,Joe,1610612750,MIN,38.0,5,3,2,0.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,350,308,86,116,474,377,338,333,132,247,183,303,247,321,285,258,242,73,334,266,356,406,356,1,2025-26,Regular Season,Scoring
Players,203954,Joel Embiid,Joel,1610612755,PHI,32.0,20,9,11,0.45,4.3,0.85,0.15,0.615,0.205,0.308,0.0,0.077,0.256,0.41,0.75,0.25,1.0,0.0,0.813,0.188,16,40,0.4,147,151,352,283,31,90,315,103,18,156,183,292,73,165,86,239,1,73,108,248,51,43,226,1,2025-26,Regular Season,Scoring
Players,1628381,John Collins,John,1610612746,LAC,28.0,19,9,10,0.474,2.7,0.444,0.556,0.353,0.0,0.353,0.118,0.294,0.118,0.353,0.667,0.333,1.0,0.0,0.8,0.2,5,9,0.556,163,151,327,266,220,274,131,239,132,140,99,140,183,203,101,215,1,73,109,237,180,214,94,1,2025-26,Regular Season,Scoring
Players,1629723,John Konchar,John,1610612762,UTA,30.0,14,2,12,0.143,1.9,0.333,0.667,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,3,0.333,217,346,373,434,330,314,74,1,132,247,1,303,247,1,1,258,242,73,1,266,309,306,273,2,2025-26,Regular Season,Scoring
Players,1642277,Johnny Furphy,Johnny,1610612754,IND,21.0,7,3,4,0.429,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,309,308,151,306,398,377,338,333,132,247,183,1,247,321,285,258,242,73,334,266,356,406,356,1,2025-26,Regular Season,Scoring
Players,1630548,Johnny Juzang,Johnny,1610612750,MIN,25.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,442,438,36,438,476,377,338,333,132,247,183,303,247,321,285,258,242,73,334,266,356,406,356,1,2025-26,Regular Season,Scoring
Players,202685,Jonas Valančiūnas,Jonas,1610612743,DEN,33.0,11,4,7,0.364,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,2,3,0.667,265,279,251,353,417,1,338,151,132,247,183,34,247,119,1,258,242,73,1,266,265,306,48,1,2025-26,Regular Season,Scoring
Players,1628371,Jonathan Isaac,Jonathan,1610612753,ORL,28.0,12,9,3,0.75,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.5,0.5,2,2,1.0,247,151,123,43,446,1,338,1,132,247,183,303,247,1,141,147,242,73,227,94,265,330,1,1,2025-26,Regular Season,Scoring
Players,1630228,Jonathan Kuminga,Jonathan,1610612737,ATL,23.0,8,4,4,0.5,2.0,0.8,0.2,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,5,0.2,300,279,151,213,321,100,304,1,132,247,1,303,1,1,285,1,242,73,334,1,309,268,345,2,2025-26,Regular Season,Scoring
Players,203903,Jordan Clarkson,Jordan,1610612752,NYK,33.0,9,6,3,0.667,1.3,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0.0,284,233,123,72,387,230,147,333,132,247,183,303,247,321,285,258,242,73,334,266,356,330,356,1,2025-26,Regular Season,Scoring
Players,1630692,Jordan Goodwin,Jordan,1610612756,PHX,27.0,24,9,15,0.375,2.5,0.333,0.667,0.19,0.095,0.571,0.286,0.239,0.095,0.095,0.5,0.5,1.0,0.0,0.833,0.167,6,15,0.4,105,151,424,346,247,314,74,311,71,52,29,189,202,313,141,147,1,73,103,249,164,163,226,1,2025-26,Regular Season,Scoring
Players,1641722,Jordan Hawkins,Jordan,1610612740,NOP,23.0,6,1,5,0.167,1.2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0.0,334,383,183,429,399,377,1,333,132,247,183,303,247,321,285,258,242,73,334,266,356,330,356,1,2025-26,Regular Season,Scoring
Players,1641757,Jordan Miller,Jordan,1610612746,LAC,26.0,12,6,6,0.5,2.8,0.75,0.25,0.333,0.0,0.25,0.0,0.417,0.0,0.333,0.5,0.5,1.0,0.0,0.667,0.333,3,8,0.375,247,233,225,213,193,112,288,244,132,184,183,64,247,211,141,147,1,73,161,176,231,229,245,1,2025-26,Regular Season,Scoring
Players,1629673,Jordan Poole,Jordan,1610612740,NOP,26.0,12,5,7,0.417,2.4,0.533,0.467,0.833,0.0,0.0,0.333,0.167,0.167,0.833,0.4,0.6,0.0,0.0,0.4,0.6,5,15,0.333,247,256,251,322,265,224,180,47,132,247,21,242,128,39,206,119,242,73,286,67,180,163,273,1,2025-26,Regular Season,Scoring
Players,1641775,Jordan Walsh,Jordan,1610612738,BOS,22.0,12,7,5,0.583,2.2,0.5,0.5,0.333,0.0,0.5,0.167,0.167,0.0,0.333,1.0,0.0,1.0,0.0,1.0,0.0,2,2,1.0,247,204,183,140,299,230,147,244,132,73,61,242,247,211,1,258,1,73,1,266,265,330,1,1,2025-26,Regular Season,Scoring
Players,1630631,Jose Alvarado,Jose,1610612752,NYK,27.0,18,9,9,0.5,2.9,0.25,0.75,0.267,0.0,0.6,0.133,0.133,0.133,0.267,0.5,0.5,0.667,0.333,0.6,0.4,5,16,0.313,172,151,303,213,175,343,57,282,132,36,84,267,166,250,141,147,204,29,192,151,180,155,299,2,2025-26,Regular Season,Scoring
Players,1630581,Josh Giddey,Josh,1610612741,CHI,23.0,28,16,12,0.571,4.2,0.721,0.279,0.557,0.0,0.197,0.033,0.246,0.033,0.557,0.353,0.647,1.0,0.0,0.476,0.524,21,43,0.488,61,49,373,153,39,122,284,129,132,210,167,184,243,107,226,107,1,73,265,91,32,40,156,1,2025-26,Regular Season,Scoring
Players,1630182,Josh Green,Josh,1610612766,CHA,25.0,8,2,6,0.25,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,300,346,225,402,454,377,338,333,132,247,183,303,247,321,285,258,242,73,334,266,356,406,356,1,2025-26,Regular Season,Scoring
Players,1628404,Josh Hart,Josh,1610612752,NYK,31.0,20,11,9,0.55,2.7,0.7,0.3,0.8,0.0,0.0,0.2,0.2,0.0,0.8,0.75,0.25,0.0,0.0,0.75,0.25,4,10,0.4,147,115,303,173,213,129,274,49,132,247,45,208,247,41,86,239,242,73,125,209,206,209,226,1,2025-26,Regular Season,Scoring
Players,1631169,Josh Minott,Josh,1610612751,BKN,23.0,9,4,5,0.444,1.4,0.333,0.667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0.0,284,279,183,292,374,314,74,333,132,247,183,303,247,321,285,258,242,73,334,266,356,306,356,2,2025-26,Regular Season,Scoring
Players,1629006,Josh Okogie,Josh,1610612745,HOU,27.0,27,16,11,0.593,1.4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0.0,72,49,352,136,379,377,1,333,132,247,183,1,247,321,285,258,242,73,334,266,356,306,356,1,2025-26,Regular Season,Scoring
Players,201950,Jrue Holiday,Jrue,1610612757,POR,35.0,23,10,13,0.435,2.8,0.379,0.621,0.071,0.0,0.643,0.0,0.286,0.214,0.071,0.0,1.0,0.667,0.333,0.571,0.429,7,29,0.241,117,132,397,305,188,306,100,331,132,32,183,147,94,317,285,1,204,29,208,142,146,75,336,1,2025-26,Regular Season,Scoring
Players,1630577,Julian Champagnie,Julian,1610612759,SAS,24.0,29,18,11,0.621,3.3,0.273,0.727,0.174,0.0,0.783,0.217,0.043,0.217,0.174,0.5,0.5,1.0,0.0,0.875,0.125,8,22,0.364,49,27,352,106,116,339,66,316,132,19,40,301,93,296,141,147,1,73,95,261,124,111,256,1,2025-26,Regular Season,Scoring
Players,1641763,Julian Phillips,Julian,1610612750,MIN,22.0,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,442,438,36,438,422,377,338,333,132,247,183,303,247,321,285,258,242,73,334,266,356,406,356,1,2025-26,Regular Season,Scoring
Players,1642882,Julian Reese,Julian,1610612764,WAS,22.0,2,0,2,0.0,2.1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,412,438,86,438,312,1,338,333,132,247,183,303,247,321,285,258,242,73,334,266,356,362,356,1,2025-26,Regular Season,Scoring
