CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,PLUSMINUS,SEASON,SEASON_TYPE,DEFENSE_CATEGORY
1642877,Micah Peavy,1610612740,NOP,G-F,24.0,53,42,0.406,32,97,0.33,0.358,-0.028,2025-26,Regular Season,3 Pointers
203076,Anthony Davis,1610612764,WAS,F-C,33.0,20,19,0.31,38,97,0.392,0.358,0.034,2025-26,Regular Season,3 Pointers
1629630,Ja Morant,1610612763,MEM,G,26.0,20,20,0.438,41,95,0.432,0.362,0.07,2025-26,Regular Season,3 Pointers
1631114,Jalen Williams,1610612760,OKC,G-F,24.0,31,31,0.366,36,94,0.383,0.368,0.015,2025-26,Regular Season,3 Pointers
1631093,Jaden Ivey,1610612741,CHI,G,24.0,37,32,0.376,36,94,0.383,0.366,0.017,2025-26,Regular Season,3 Pointers
1631133,Jabari Walker,1610612755,PHI,F,23.0,59,46,0.343,31,94,0.33,0.349,-0.02,2025-26,Regular Season,3 Pointers
1629026,Kenrich Williams,1610612760,OKC,G-F,31.0,50,42,0.375,40,93,0.43,0.354,0.076,2025-26,Regular Season,3 Pointers
1630544,Tre Mann,1610612766,CHA,G,25.0,46,33,0.357,47,90,0.522,0.359,0.163,2025-26,Regular Season,3 Pointers
1630702,Jaden Hardy,1610612764,WAS,G,23.0,48,38,0.333,30,89,0.337,0.362,-0.025,2025-26,Regular Season,3 Pointers
202685,Jonas Valančiūnas,1610612743,DEN,C,33.0,58,45,0.228,42,89,0.472,0.347,0.125,2025-26,Regular Season,3 Pointers
1629234,Drew Eubanks,1610612758,SAC,F-C,29.0,41,34,0.304,32,89,0.36,0.358,0.001,2025-26,Regular Season,3 Pointers
1642275,Tidjane Salaün,1610612766,CHA,F,20.0,34,31,0.369,42,89,0.472,0.355,0.117,2025-26,Regular Season,3 Pointers
1630811,Keaton Wallace,1610612737,ATL,G,27.0,42,33,0.453,32,86,0.372,0.343,0.029,2025-26,Regular Season,3 Pointers
1626156,D'Angelo Russell,1610612764,WAS,G,30.0,26,26,0.379,29,86,0.337,0.366,-0.029,2025-26,Regular Season,3 Pointers
1627827,Dorian Finney-Smith,1610612745,HOU,F,32.0,36,33,0.378,30,85,0.353,0.355,-0.002,2025-26,Regular Season,3 Pointers
1642353,Cam Christie,1610612746,LAC,G,20.0,45,34,0.443,32,85,0.376,0.365,0.012,2025-26,Regular Season,3 Pointers
201567,Kevin Love,1610612762,UTA,F-C,37.0,35,33,0.305,25,84,0.298,0.366,-0.068,2025-26,Regular Season,3 Pointers
1642885,Mohamed Diawara,1610612752,NYK,F,20.0,56,43,0.441,28,83,0.337,0.356,-0.018,2025-26,Regular Season,3 Pointers
1642382,Branden Carlson,1610612760,OKC,C,26.0,34,30,0.361,36,82,0.439,0.324,0.115,2025-26,Regular Season,3 Pointers
1631131,Oscar Tshiebwe,1610612762,UTA,F-C,26.0,22,21,0.453,29,82,0.354,0.368,-0.015,2025-26,Regular Season,3 Pointers
1631099,Keegan Murray,1610612758,SAC,F,25.0,23,22,0.256,28,82,0.341,0.37,-0.029,2025-26,Regular Season,3 Pointers
1642853,Rasheer Fleming,1610612756,PHX,F,21.0,45,37,0.386,23,81,0.284,0.354,-0.07,2025-26,Regular Season,3 Pointers
