GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD,NBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,NBA_FANTASY_PTS_RANK,TEAM_COUNT,SEASON,SEASON_TYPE,MEASURE_TYPE
Players,1630610,DeJon Jarreau,DeJon,1610612763,MEM,28.0,2,1,1,0.5,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.4,412,383,36,213,427,247,244,183,321,1,1,441,266,188,1,1,337,309,1,2025-26,Regular Season,Misc
Players,201942,DeMar DeRozan,DeMar,1610612758,SAC,36.0,29,13,16,0.448,3.5,0.6,0.2,0.1,0.6,1.1,1.3,0.3,3.5,0.0,0.0,0.1,1.0,4.3,49,91,437,288,95,16,164,134,139,336,396,226,72,188,1,136,18,49,1,2025-26,Regular Season,Misc
Players,1629731,Dean Wade,Dean,1610612739,CLE,29.0,15,7,8,0.467,2.5,0.0,0.0,0.0,0.1,0.7,1.1,0.1,2.1,0.0,0.1,0.3,0.3,1.2,211,204,279,272,243,247,244,183,296,198,334,149,259,188,360,286,179,335,1,2025-26,Regular Season,Misc
Players,1629028,Deandre Ayton,Deandre,1610612747,LAL,27.0,18,15,3,0.833,3.4,0.4,0.6,0.0,0.8,1.3,0.9,0.3,2.8,0.2,0.0,0.4,0.3,3.6,172,63,123,38,109,44,11,183,89,376,271,218,163,24,1,332,134,69,1,2025-26,Regular Season,Misc
Players,1627749,Dejounte Murray,Dejounte,1610612740,NOP,29.0,7,1,6,0.143,2.7,0.3,0.0,0.6,1.1,1.1,0.9,0.9,3.4,0.0,0.1,1.1,0.3,3.1,309,383,225,434,215,88,244,7,33,344,263,416,80,188,436,481,159,112,1,2025-26,Regular Season,Misc
Players,1630166,Deni Avdija,Deni,1610612757,POR,25.0,36,19,17,0.528,3.7,0.3,0.4,0.1,1.2,1.7,0.8,0.7,3.2,0.1,0.2,0.7,0.9,4.6,13,15,452,198,68,72,28,173,26,435,247,378,101,141,452,463,19,42,1,2025-26,Regular Season,Misc
Players,203471,Dennis Schröder,Dennis,1610612739,CLE,32.0,22,10,12,0.455,3.1,0.3,0.3,0.0,0.7,1.0,1.0,0.4,3.5,0.0,0.2,0.2,0.6,2.9,128,132,373,280,146,83,90,183,99,319,297,232,69,188,458,201,56,129,2,2025-26,Regular Season,Misc
Players,1641726,Dereck Lively II,Dereck,1610612742,DAL,22.0,3,2,1,0.667,1.8,0.0,0.0,0.0,0.0,1.3,1.3,0.7,3.3,0.3,0.0,0.7,0.0,2.0,390,346,36,72,338,247,244,183,321,387,409,357,89,7,1,450,337,235,1,2025-26,Regular Season,Misc
Players,1642852,Derik Queen,Derik,1610612740,NOP,21.0,25,7,18,0.28,3.2,0.4,0.2,0.1,0.6,1.2,0.9,0.4,3.7,0.2,0.2,0.5,0.4,3.4,96,204,462,397,134,50,137,152,121,361,285,260,56,26,451,416,122,87,1,2025-26,Regular Season,Misc
Players,1627884,Derrick Jones Jr.,Derrick,1610612746,LAC,29.0,16,8,8,0.5,4.6,0.1,0.3,0.4,1.1,2.6,1.8,0.8,4.8,0.2,0.1,0.5,0.5,3.7,193,180,279,213,19,198,100,24,38,474,462,408,17,33,422,388,65,67,1,2025-26,Regular Season,Misc
Players,1628401,Derrick White,Derrick,1610612738,BOS,31.0,27,13,14,0.481,3.0,0.1,0.1,0.1,0.4,0.6,1.6,0.2,2.1,0.1,0.0,0.3,0.4,3.2,72,91,411,261,163,182,183,155,170,178,438,164,264,116,303,268,101,104,1,2025-26,Regular Season,Misc
Players,1630217,Desmond Bane,Desmond,1610612753,ORL,27.0,41,27,14,0.659,3.9,0.2,0.3,0.0,0.9,1.0,0.9,0.8,2.9,0.0,0.2,0.4,0.6,4.1,2,1,411,89,51,134,97,178,65,287,269,397,148,157,470,361,52,55,1,2025-26,Regular Season,Misc
Players,1626164,Devin Booker,Devin,1610612756,PHX,29.0,29,13,16,0.448,3.5,0.4,0.2,0.1,0.8,1.4,0.9,0.6,3.4,0.1,0.0,0.7,1.0,4.6,49,91,437,288,98,60,117,162,79,400,267,346,79,127,295,449,9,44,1,2025-26,Regular Season,Misc
Players,1642269,Devin Carter,Devin,1610612758,SAC,24.0,8,5,3,0.625,3.1,0.3,0.0,0.5,1.0,1.4,1.1,0.6,3.0,0.1,0.0,0.1,0.6,5.4,300,256,123,100,157,109,244,10,43,397,348,349,118,63,1,129,48,25,1,2025-26,Regular Season,Misc
Players,1630170,Devin Vassell,Devin,1610612759,SAS,25.0,27,19,8,0.704,2.8,0.1,0.0,0.1,0.2,1.0,0.7,0.6,2.5,0.0,0.0,0.2,0.2,1.5,72,15,279,63,203,207,244,100,259,315,190,335,204,169,303,162,216,298,1,2025-26,Regular Season,Misc
Players,1628415,Dillon Brooks,Dillon,1610612756,PHX,30.0,26,15,11,0.577,3.2,0.3,0.2,0.1,0.5,1.0,0.7,0.5,2.6,0.0,0.0,0.5,0.3,2.3,89,63,352,150,137,71,121,153,144,316,223,313,192,188,308,377,131,192,1,2025-26,Regular Season,Misc
Players,1627734,Domantas Sabonis,Domantas,1610612758,SAC,29.0,7,2,5,0.286,3.5,0.0,0.3,0.0,0.6,1.9,1.3,0.3,4.3,0.0,0.0,0.4,0.3,2.4,309,346,183,385,84,247,76,183,129,445,400,200,27,188,1,351,159,182,1,2025-26,Regular Season,Misc
Players,1631230,Dominick Barlow,Dominick,1610612755,PHI,22.0,12,7,5,0.583,4.3,0.0,0.2,0.2,0.5,2.3,1.5,0.8,4.0,0.1,0.0,0.3,0.6,2.0,247,204,183,140,25,247,165,86,148,468,429,390,30,101,1,213,57,230,1,2025-26,Regular Season,Misc
Players,1642270,Donovan Clingan,Donovan,1610612757,POR,22.0,32,17,15,0.531,2.5,0.0,0.3,0.0,0.5,1.0,0.7,0.7,1.7,0.1,0.0,0.2,0.3,2.7,29,41,424,193,249,247,54,183,148,288,211,356,327,132,289,164,133,144,1,2025-26,Regular Season,Misc
Players,1628378,Donovan Mitchell,Donovan,1610612739,CLE,29.0,33,19,14,0.576,2.8,0.3,0.2,0.3,1.0,0.8,0.8,0.5,2.4,0.0,0.1,0.2,0.5,4.1,24,15,411,152,197,103,114,28,56,257,262,283,224,188,351,157,81,54,1,2025-26,Regular Season,Misc
Players,1628978,Donte DiVincenzo,Donte,1610612750,MIN,29.0,28,15,13,0.536,3.4,0.1,0.1,0.1,0.1,2.0,0.7,0.6,2.7,0.0,0.0,0.6,0.2,2.6,61,63,397,189,106,186,210,157,319,449,216,324,172,188,299,447,228,158,1,2025-26,Regular Season,Misc
Players,1627827,Dorian Finney-Smith,Dorian,1610612745,HOU,32.0,12,7,5,0.583,0.8,0.0,0.0,0.0,0.0,0.7,0.0,0.2,0.5,0.0,0.0,0.3,0.0,0.0,247,204,183,140,430,247,244,183,321,198,1,156,421,188,1,213,337,427,1,2025-26,Regular Season,Misc
Players,203926,Doug McDermott,Doug,1610612758,SAC,34.0,4,4,0,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371,279,1,1,456,247,244,183,321,1,1,1,436,188,1,1,337,427,1,2025-26,Regular Season,Misc
Players,1642962,Drake Powell,Drake,1610612751,BKN,20.0,14,2,12,0.143,2.1,0.1,0.0,0.1,0.3,0.6,0.8,0.4,2.1,0.0,0.1,0.1,0.1,1.3,217,346,373,434,307,186,244,102,233,190,238,230,257,188,365,137,270,314,1,2025-26,Regular Season,Misc
Players,203110,Draymond Green,Draymond,1610612744,GSW,36.0,27,11,16,0.407,3.5,0.1,0.1,0.0,0.4,1.1,1.3,0.4,2.8,0.1,0.0,0.8,0.2,3.3,72,115,437,328,90,207,230,183,170,348,409,235,157,116,1,467,216,93,1,2025-26,Regular Season,Misc
Players,1629234,Drew Eubanks,Drew,1610612758,SAC,29.0,4,4,0,1.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,371,279,1,1,438,247,244,183,321,1,1,1,436,188,1,1,337,415,1,2025-26,Regular Season,Misc
Players,1641809,Drew Peterson,Drew,1610612766,CHA,26.0,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.2,442,438,36,438,423,247,244,183,321,1,1,1,266,188,1,1,337,329,1,2025-26,Regular Season,Misc
Players,1630696,Dru Smith,Dru,1610612748,MIA,28.0,9,4,5,0.444,1.1,0.0,0.2,0.0,0.2,0.2,0.1,0.2,0.9,0.1,0.0,0.2,0.0,1.2,284,279,183,292,409,247,126,183,259,100,89,175,397,73,1,189,337,339,1,2025-26,Regular Season,Misc
Players,1629130,Duncan Robinson,Duncan,1610612765,DET,31.0,35,25,10,0.714,2.6,0.2,0.1,0.0,0.2,0.9,0.5,0.8,1.8,0.1,0.1,0.3,0.2,1.5,19,2,327,57,230,164,185,183,282,284,144,400,313,140,347,250,214,287,1,2025-26,Regular Season,Misc
Players,1641871,Duop Reath,Duop,1610612757,POR,29.0,1,1,0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.9,442,383,1,1,323,247,244,183,321,1,1,1,436,188,1,470,337,61,1,2025-26,Regular Season,Misc
Players,203939,Dwight Powell,Dwight,1610612742,DAL,34.0,9,3,6,0.333,1.6,0.1,0.1,0.0,0.0,0.2,0.4,0.0,1.3,0.0,0.0,0.4,0.3,1.2,284,308,225,365,360,207,202,183,321,100,137,1,361,188,1,363,134,325,1,2025-26,Regular Season,Misc
Players,1642928,Dylan Cardwell,Dylan,1610612758,SAC,24.0,14,4,10,0.286,2.5,0.4,0.1,0.0,0.4,0.5,0.5,0.3,2.3,0.4,0.0,0.5,0.2,3.1,217,279,327,385,239,66,232,183,180,150,145,200,234,5,1,388,228,117,1,2025-26,Regular Season,Misc
Players,1642844,Dylan Harper,Dylan,1610612759,SAS,20.0,12,8,4,0.667,2.1,0.2,0.2,0.0,0.7,0.9,0.7,0.9,2.3,0.0,0.1,0.1,0.3,1.4,247,180,151,72,304,165,165,183,108,276,190,429,229,188,390,113,184,308,1,2025-26,Regular Season,Misc
