PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,POINTS,DRIVE_PTS,DRIVE_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG_PCT,PULL_UP_PTS,PULL_UP_FG_PCT,PAINT_TOUCH_PTS,PAINT_TOUCH_FG_PCT,POST_TOUCH_PTS,POST_TOUCH_FG_PCT,ELBOW_TOUCH_PTS,ELBOW_TOUCH_FG_PCT,EFF_FG_PCT,SEASON,SEASON_TYPE,PT_MEASURE_TYPE
1626171,Bobby Portis,1610612749,MIL,67,26,41,1619.0,915,62,0.439,454,0.469,177,0.459,169,0.624,104,0.529,46,0.667,0.578,2025-26,Regular Season,Efficiency
1641752,Bobi Klintman,1610612765,DET,12,8,4,71.0,22,2,0.333,12,0.308,2,0.5,2,0.25,0,0.0,0,0.0,0.407,2025-26,Regular Season,Efficiency
203992,Bogdan Bogdanović,1610612746,LAC,21,6,15,429.0,154,45,0.484,36,0.261,74,0.439,4,0.5,0,0.0,0,0.0,0.475,2025-26,Regular Season,Efficiency
1630538,Bones Hyland,1610612750,MIN,68,41,27,1105.0,558,108,0.516,187,0.406,171,0.408,8,0.571,2,1.0,6,1.0,0.57,2025-26,Regular Season,Efficiency
203078,Bradley Beal,1610612746,LAC,6,2,4,121.0,49,4,0.1,21,0.438,8,0.222,8,0.5,0,0.0,0,0.0,0.448,2025-26,Regular Season,Efficiency
1642382,Branden Carlson,1610612760,OKC,38,30,8,393.0,174,4,0.25,60,0.317,3,0.25,92,0.772,0,0.0,16,0.636,0.598,2025-26,Regular Season,Efficiency
1641764,Brandin Podziemski,1610612744,GSW,77,36,41,2189.0,1038,278,0.491,286,0.392,269,0.357,76,0.66,4,1.0,31,0.65,0.539,2025-26,Regular Season,Efficiency
1629634,Brandon Clarke,1610612763,MEM,2,1,1,20.0,8,0,0.0,0,0.0,0,0.0,4,0.5,0,0.0,2,0.5,0.333,2025-26,Regular Season,Efficiency
1627742,Brandon Ingram,1610612761,TOR,72,40,32,2437.0,1538,451,0.513,368,0.412,561,0.458,109,0.672,58,0.436,40,0.4,0.524,2025-26,Regular Season,Efficiency
1641706,Brandon Miller,1610612766,CHA,61,39,22,1842.0,1243,319,0.444,428,0.399,340,0.393,96,0.763,7,0.25,46,0.526,0.537,2025-26,Regular Season,Efficiency
1630314,Brandon Williams,1610612742,DAL,65,22,43,1438.0,846,444,0.516,83,0.237,129,0.42,24,0.692,0,0.0,12,0.5,0.5,2025-26,Regular Season,Efficiency
1641729,Brice Sensabaugh,1610612762,UTA,72,18,54,1679.0,1049,276,0.553,340,0.367,249,0.402,37,0.419,0,0.0,30,0.619,0.553,2025-26,Regular Season,Efficiency
1642355,Bronny James,1610612747,LAL,37,21,16,292.0,89,16,0.35,26,0.429,37,0.313,6,0.75,0,0.0,0,0.0,0.477,2025-26,Regular Season,Efficiency
201572,Brook Lopez,1610612746,LAC,70,38,32,1502.0,572,57,0.423,304,0.361,67,0.397,107,0.62,69,0.588,31,0.5,0.527,2025-26,Regular Season,Efficiency
1642964,Brooks Barnhizer,1610612760,OKC,37,28,9,283.0,47,9,0.333,17,0.333,4,0.182,8,0.667,0,0.0,0,0.0,0.422,2025-26,Regular Season,Efficiency
1628971,Bruce Brown,1610612743,DEN,77,49,28,1883.0,601,117,0.421,157,0.387,41,0.311,139,0.533,0,0.0,43,0.5,0.528,2025-26,Regular Season,Efficiency
1631121,Bryce McGowens,1610612740,NOP,42,14,28,880.0,340,111,0.447,99,0.407,39,0.425,23,0.8,0,0.0,5,0.667,0.561,2025-26,Regular Season,Efficiency
