GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,SEASON,SEASON_TYPE,MEASURE_TYPE
Players,1641717,Cason Wallace,Cason,1610612760,OKC,22.0,27,18,9,0.667,3.0,0.3,0.6,0.533,0.1,0.3,0.429,0.1,0.1,1.0,0.2,0.1,0.3,0.2,0.2,0.2,0.0,0.1,0.2,0.1,0.8,1.4,2.0,1,0,1.9,72,27,159,72,164,224,270,104,164,233,76,285,307,1,107,342,288,202,79,32,169,104,286,315,251,83,240,141,24,237,1,2025-26,Regular Season,Base
Players,1642907,Cedric Coward,Cedric,1610612763,MEM,22.0,28,12,16,0.429,3.2,0.5,1.4,0.395,0.3,0.7,0.368,0.3,0.5,0.615,0.2,0.6,0.8,0.3,0.3,0.0,0.1,0.1,0.3,0.3,1.6,-0.3,3.0,5,0,3.1,61,103,34,306,139,101,85,234,57,74,110,165,142,241,116,68,81,118,51,245,120,40,222,159,108,250,125,51,24,100,1,2025-26,Regular Season,Base
Players,1643052,Chaney Johnson,Chaney,1610612751,BKN,23.0,4,0,4,0.0,2.3,0.0,0.8,0.0,0.0,0.3,0.0,0.3,0.5,0.5,0.5,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.8,0.3,0.3,-2.0,2.2,0,0,1.8,371,438,303,438,278,356,207,356,247,235,247,184,125,258,15,95,25,44,289,254,188,200,20,184,354,411,212,205,24,245,1,2025-26,Regular Season,Base
Players,1642404,Chaz Lanier,Chaz,1610612765,DET,24.0,2,2,0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0,0,0.0,412,346,450,1,473,356,406,356,247,338,247,303,317,303,289,366,385,334,289,254,188,200,382,337,379,39,427,205,24,429,1,2025-26,Regular Season,Base
Players,1631096,Chet Holmgren,Chet,1610612760,OKC,23.0,27,20,7,0.741,3.7,0.6,1.1,0.552,0.1,0.2,0.667,0.7,0.9,0.75,0.5,0.8,1.3,0.1,0.0,0.0,0.0,0.1,0.5,0.7,2.0,2.4,3.8,12,0,3.6,72,10,207,51,72,83,124,97,130,253,25,54,51,176,23,29,10,263,289,254,169,66,99,38,66,43,64,16,24,62,1,2025-26,Regular Season,Base
Players,1628449,Chris Boucher,Chris,1610612738,BOS,33.0,1,0,1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0,0,0.0,442,438,400,438,445,356,406,356,247,338,247,303,317,303,289,366,385,334,289,254,188,200,382,337,379,411,427,205,24,429,1,2025-26,Regular Season,Base
Players,1641753,Chris Livingston,Chris,1610612739,CLE,22.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,442,438,400,438,478,356,406,356,247,338,247,303,317,303,289,366,385,334,289,254,188,200,382,337,379,212,427,205,24,429,1,2025-26,Regular Season,Base
Players,1631128,Christian Braun,Christian,1610612743,DEN,24.0,21,10,11,0.476,5.0,0.1,0.6,0.167,0.1,0.3,0.286,0.2,0.3,0.833,0.1,0.5,0.6,0.1,0.1,0.0,0.1,0.0,0.4,0.2,0.5,-1.9,1.8,0,0,1.7,137,132,113,264,11,337,262,351,187,192,163,192,202,119,142,122,129,230,143,227,91,156,155,210,298,406,264,205,24,256,1,2025-26,Regular Season,Base
Players,1631132,Christian Koloko,Christian,1610612737,ATL,25.0,2,1,1,0.5,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,-1.5,0.0,0,0,0.0,412,383,400,213,411,356,406,356,247,338,247,303,317,303,289,366,385,334,289,254,188,200,73,337,379,380,427,205,24,429,2,2025-26,Regular Season,Base
Players,203991,Clint Capela,Clint,1610612745,HOU,31.0,6,2,4,0.333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.2,0.2,0,0,0.2,334,346,303,365,453,356,406,356,247,338,247,226,180,258,289,366,385,334,289,254,188,200,382,249,366,103,421,205,24,425,1,2025-26,Regular Season,Base
