PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD,NBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,NBA_FANTASY_PTS_RANK,TEAM_COUNT,SEASON,SEASON_TYPE,MEASURE_TYPE
1631116,Patrick Baldwin Jr.,Patrick,1610612758,SAC,23.0,9,3,6,0.333,11.4,0.2,0.8,0.4,0.9,4.1,3.4,3.8,9.1,0.6,0.0,1.7,0.6,9.7,492,491,86,420,439,525,367,422,497,126,132,151,476,130,1,289,442,429,3,2025-26,Regular Season,Misc
1630172,Patrick Williams,Patrick,1610612741,CHI,24.0,68,22,46,0.324,19.7,0.8,0.8,0.8,1.9,8.3,6.1,7.2,23.1,0.3,0.4,1.3,0.9,13.8,104,267,548,431,288,399,359,318,388,340,287,358,238,237,349,194,364,350,1,2025-26,Regular Season,Misc
202331,Paul George,Paul,1610612755,PHI,35.0,34,20,14,0.588,31.1,2.4,2.1,1.4,3.8,8.4,9.6,9.8,31.4,0.5,0.5,2.4,2.6,34.8,387,292,180,188,67,96,83,191,232,345,508,500,86,164,385,474,103,54,1,2025-26,Regular Season,Misc
1630194,Paul Reed,Paul,1610612765,DET,26.0,62,44,18,0.71,13.9,1.3,1.8,0.6,5.5,5.1,4.1,4.5,12.7,0.9,0.4,1.9,1.2,19.1,176,50,231,71,398,269,132,384,158,172,162,186,420,58,317,341,279,243,1,2025-26,Regular Season,Misc
1630202,Payton Pritchard,Payton,1610612738,BOS,28.0,76,52,24,0.684,32.4,2.0,2.5,1.3,5.9,9.9,9.8,9.3,27.3,0.1,0.5,1.5,1.6,30.7,25,13,318,86,44,148,51,221,137,429,515,474,155,424,426,234,215,93,1,2025-26,Regular Season,Misc
1642362,Payton Sandfort,Payton,1610612760,OKC,23.0,2,2,0,1.0,3.5,0.0,0.5,0.0,0.0,2.0,2.5,2.0,4.0,0.0,0.0,2.5,0.5,2.7,563,512,1,1,563,545,435,534,562,35,82,55,550,515,1,498,452,563,1,2025-26,Regular Season,Misc
1641796,Pelle Larsson,Pelle,1610612748,MIA,25.0,67,37,30,0.552,26.3,1.9,1.4,2.2,6.0,8.4,8.3,7.1,29.0,0.2,0.5,2.0,3.2,22.1,117,123,407,238,160,159,196,89,132,350,421,354,131,322,390,393,69,196,1,2025-26,Regular Season,Misc
1631250,Pete Nance,Pete,1610612749,MIL,26.0,45,14,31,0.311,15.4,0.6,0.7,0.4,2.1,6.2,4.7,4.4,14.9,0.3,0.1,1.2,0.3,11.2,316,368,422,441,373,438,388,449,360,224,188,185,389,285,109,178,518,399,1,2025-26,Regular Season,Misc
1631212,Peyton Watson,Peyton,1610612743,DEN,23.0,54,36,18,0.667,29.6,2.1,1.2,2.2,6.6,10.0,9.3,9.4,31.3,1.1,0.6,2.5,2.6,28.0,250,129,231,94,101,135,234,90,110,437,491,480,91,34,447,504,102,118,1,2025-26,Regular Season,Misc
1630173,Precious Achiuwa,Precious,1610612758,SAC,26.0,70,19,51,0.271,23.6,1.9,2.8,1.3,7.5,8.6,7.5,8.3,26.4,0.7,0.6,1.7,1.4,23.7,80,308,563,469,206,157,33,211,76,360,372,420,171,100,439,311,244,167,1,2025-26,Regular Season,Misc
1629656,Quentin Grimes,Quentin,1610612755,PHI,25.0,72,40,32,0.556,29.7,2.5,1.4,2.6,5.1,10.7,9.0,10.1,29.8,0.4,0.4,2.1,2.7,24.7,65,91,434,228,99,89,186,60,176,479,470,516,121,216,344,396,98,153,1,2025-26,Regular Season,Misc
1631245,Quenton Jackson,Quenton,1610612754,IND,27.0,45,9,36,0.2,17.5,1.6,0.6,1.5,3.9,7.7,5.0,5.3,20.1,0.1,0.5,1.6,2.5,16.1,316,418,482,520,327,219,407,180,230,304,213,238,281,419,422,266,117,304,1,2025-26,Regular Season,Misc
1642366,Quinten Post,Quinten,1610612744,GSW,26.0,67,32,35,0.478,17.3,0.8,1.6,0.3,2.7,6.9,5.3,6.2,17.7,0.5,0.3,1.9,0.7,16.5,117,170,469,334,332,385,163,488,299,260,234,299,332,143,223,336,393,297,1,2025-26,Regular Season,Misc
1629628,RJ Barrett,RJ,1610612761,TOR,25.0,54,31,23,0.574,30.2,3.4,2.1,3.9,10.3,9.4,9.0,8.7,31.1,0.3,1.3,2.6,3.5,31.9,250,177,303,205,83,32,91,7,31,403,474,441,93,238,573,509,58,83,1,2025-26,Regular Season,Misc
1642853,Rasheer Fleming,Rasheer,1610612756,PHX,21.0,51,27,24,0.529,11.7,0.9,0.9,0.9,1.5,4.3,3.3,3.4,11.4,0.4,0.1,1.2,0.5,9.1,277,216,318,273,434,371,337,298,433,132,122,133,444,225,100,156,464,439,1,2025-26,Regular Season,Misc
1642484,RayJ Dennis,RayJ,1610612737,ATL,25.0,16,3,13,0.188,11.2,0.9,0.3,0.5,1.1,4.3,3.1,4.1,11.4,0.3,0.1,1.1,0.5,9.1,458,491,168,531,442,357,502,400,470,131,112,169,445,311,102,139,452,441,3,2025-26,Regular Season,Misc
1641712,Rayan Rupert,Rayan,1610612763,MEM,21.0,62,29,33,0.468,16.0,1.1,0.5,0.8,2.0,7.4,6.1,5.3,17.9,0.1,0.4,1.9,0.6,11.4,176,196,446,342,363,311,435,325,385,288,284,242,328,442,345,337,426,391,2,2025-26,Regular Season,Misc
1642263,Reed Sheppard,Reed,1610612745,HOU,21.0,78,49,29,0.628,26.5,2.2,1.0,1.9,3.2,10.2,8.8,8.2,26.5,0.7,0.4,2.1,0.8,27.3,10,31,391,146,156,117,301,116,265,452,462,415,168,97,361,398,368,125,1,2025-26,Regular Season,Misc
1642434,Riley Minix,Riley,1610612739,CLE,25.0,7,6,1,0.857,3.6,0.3,0.9,0.3,1.4,2.7,1.1,1.9,3.7,0.0,0.0,0.4,0.0,4.6,506,456,9,10,561,511,341,477,439,72,22,50,557,515,1,31,561,525,2,2025-26,Regular Season,Misc
