PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,DREB,DREB_CONTEST,DREB_UNCONTEST,DREB_CONTEST_PCT,DREB_CHANCES,DREB_CHANCE_PCT,DREB_CHANCE_DEFER,DREB_CHANCE_PCT_ADJ,SEASON,SEASON_TYPE,PT_MEASURE_TYPE,REBOUNDING_SCOPE
203903,Jordan Clarkson,1610612752,NYK,52,33,19,1016.0,60,14,46,0.233,128,0.469,18,0.545,2025-26,Regular Season,Rebounding,defensive
1630692,Jordan Goodwin,1610612756,PHX,67,37,30,1509.0,196,45,151,0.23,357,0.549,37,0.613,2025-26,Regular Season,Rebounding,defensive
1641722,Jordan Hawkins,1610612740,NOP,32,7,25,469.0,54,14,40,0.259,96,0.563,14,0.659,2025-26,Regular Season,Rebounding,defensive
1629162,Jordan McLaughlin,1610612759,SAS,16,15,1,158.0,22,1,20,0.045,31,0.71,2,0.759,2025-26,Regular Season,Rebounding,defensive
1641757,Jordan Miller,1610612746,LAC,49,30,19,1118.0,116,31,85,0.267,210,0.552,20,0.611,2025-26,Regular Season,Rebounding,defensive
1629673,Jordan Poole,1610612740,NOP,32,13,19,784.0,64,9,55,0.141,111,0.577,11,0.64,2025-26,Regular Season,Rebounding,defensive
1641775,Jordan Walsh,1610612738,BOS,56,37,19,1065.0,172,44,128,0.256,284,0.606,24,0.662,2025-26,Regular Season,Rebounding,defensive
1630631,Jose Alvarado,1610612752,NYK,59,26,33,1205.0,137,19,118,0.139,245,0.559,24,0.62,2025-26,Regular Season,Rebounding,defensive
1630581,Josh Giddey,1610612741,CHI,53,21,32,1704.0,381,74,308,0.194,568,0.671,43,0.726,2025-26,Regular Season,Rebounding,defensive
1630182,Josh Green,1610612766,CHA,40,27,13,682.0,54,14,40,0.259,91,0.593,9,0.659,2025-26,Regular Season,Rebounding,defensive
1628404,Josh Hart,1610612752,NYK,63,41,22,1899.0,385,84,300,0.218,586,0.657,57,0.728,2025-26,Regular Season,Rebounding,defensive
1631169,Josh Minott,1610612751,BKN,42,18,24,785.0,110,31,78,0.282,190,0.579,20,0.647,2025-26,Regular Season,Rebounding,defensive
1629006,Josh Okogie,1610612745,HOU,56,35,21,1080.0,106,30,77,0.283,191,0.555,18,0.613,2025-26,Regular Season,Rebounding,defensive
201950,Jrue Holiday,1610612757,POR,49,26,23,1426.0,156,25,131,0.16,247,0.632,9,0.655,2025-26,Regular Season,Rebounding,defensive
1630577,Julian Champagnie,1610612759,SAS,76,58,18,2097.0,369,86,284,0.233,560,0.659,62,0.741,2025-26,Regular Season,Rebounding,defensive
1641763,Julian Phillips,1610612750,MIN,25,8,17,294.0,24,7,17,0.292,42,0.571,2,0.6,2025-26,Regular Season,Rebounding,defensive
1642882,Julian Reese,1610612764,WAS,7,1,6,217.0,50,16,32,0.32,60,0.833,5,0.909,2025-26,Regular Season,Rebounding,defensive
1631124,Julian Strawther,1610612743,DEN,39,26,13,651.0,89,20,69,0.225,132,0.674,11,0.736,2025-26,Regular Season,Rebounding,defensive
203944,Julius Randle,1610612750,MIN,76,45,31,2517.0,387,106,278,0.274,627,0.617,69,0.694,2025-26,Regular Season,Rebounding,defensive
1630551,Justin Champagnie,1610612764,WAS,62,13,49,1269.0,219,46,172,0.21,353,0.62,30,0.678,2025-26,Regular Season,Rebounding,defensive
1642348,Justin Edwards,1610612755,PHI,37,17,20,718.0,66,16,50,0.242,101,0.653,4,0.68,2025-26,Regular Season,Rebounding,defensive
203994,Jusuf Nurkić,1610612762,UTA,41,14,27,1083.0,319,105,213,0.329,489,0.652,56,0.737,2025-26,Regular Season,Rebounding,defensive
1642354,KJ Simpson,1610612743,DEN,12,5,7,206.0,26,6,20,0.231,39,0.667,4,0.743,2025-26,Regular Season,Rebounding,defensive
1642955,Kadary Richmond,1610612764,WAS,3,2,1,67.0,9,5,4,0.556,13,0.692,1,0.75,2025-26,Regular Season,Rebounding,defensive
1642880,Kam Jones,1610612754,IND,21,4,17,430.0,40,5,35,0.125,76,0.526,12,0.625,2025-26,Regular Season,Rebounding,defensive
1626157,Karl-Anthony Towns,1610612752,NYK,72,46,26,2230.0,627,169,457,0.27,916,0.684,77,0.747,2025-26,Regular Season,Rebounding,defensive
1631255,Karlo Matković,1610612740,NOP,57,24,33,866.0,157,56,101,0.357,272,0.577,30,0.649,2025-26,Regular Season,Rebounding,defensive
1642857,Kasparas Jakučionis,1610612748,MIA,41,22,19,788.0,86,20,65,0.233,148,0.581,16,0.652,2025-26,Regular Season,Rebounding,defensive
202695,Kawhi Leonard,1610612746,LAC,61,35,26,1957.0,322,66,256,0.205,492,0.654,42,0.716,2025-26,Regular Season,Rebounding,defensive
1630811,Keaton Wallace,1610612737,ATL,31,16,15,388.0,49,10,39,0.204,76,0.645,4,0.681,2025-26,Regular Season,Rebounding,defensive
1631099,Keegan Murray,1610612758,SAC,23,5,18,793.0,99,24,75,0.242,181,0.547,22,0.623,2025-26,Regular Season,Rebounding,defensive
1642276,Kel'el Ware,1610612748,MIA,72,36,36,1589.0,441,148,293,0.336,700,0.63,69,0.699,2025-26,Regular Season,Rebounding,defensive
1629640,Keldon Johnson,1610612759,SAS,75,57,18,1749.0,281,79,201,0.281,480,0.585,56,0.663,2025-26,Regular Season,Rebounding,defensive
203482,Kelly Olynyk,1610612759,SAS,32,25,7,321.0,52,9,43,0.173,77,0.675,10,0.776,2025-26,Regular Season,Rebounding,defensive
1626162,Kelly Oubre Jr.,1610612755,PHI,45,25,20,1439.0,177,36,141,0.203,305,0.58,22,0.625,2025-26,Regular Season,Rebounding,defensive
1631113,Kennedy Chandler,1610612762,UTA,8,0,8,251.0,21,3,18,0.143,25,0.84,0,0.84,2025-26,Regular Season,Rebounding,defensive
1629026,Kenrich Williams,1610612760,OKC,45,34,11,730.0,112,30,82,0.268,184,0.609,9,0.64,2025-26,Regular Season,Rebounding,defensive
203484,Kentavious Caldwell-Pope,1610612763,MEM,46,18,28,971.0,105,17,88,0.162,155,0.677,12,0.734,2025-26,Regular Season,Rebounding,defensive
1631165,Keon Ellis,1610612739,CLE,54,23,31,1163.0,86,12,74,0.14,156,0.551,9,0.585,2025-26,Regular Season,Rebounding,defensive
1642352,Keshad Johnson,1610612748,MIA,19,11,8,189.0,31,12,19,0.387,59,0.525,8,0.608,2025-26,Regular Season,Rebounding,defensive
