PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,TOUCHES,POST_TOUCHES,POST_TOUCH_FGM,POST_TOUCH_FGA,POST_TOUCH_FG_PCT,POST_TOUCH_FTM,POST_TOUCH_FTA,POST_TOUCH_FT_PCT,POST_TOUCH_PTS,POST_TOUCH_PTS_PCT,POST_TOUCH_PASSES,POST_TOUCH_PASSES_PCT,POST_TOUCH_AST,POST_TOUCH_AST_PCT,POST_TOUCH_TOV,POST_TOUCH_TOV_PCT,POST_TOUCH_FOULS,POST_TOUCH_FOULS_PCT,SEASON,SEASON_TYPE,PT_MEASURE_TYPE
1630245,Ayo Dosunmu,1610612750,MIN,66,34,32,1787.0,3500,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1628389,Bam Adebayo,1610612748,MIA,68,34,34,2199.0,3927,172,26,71,0.366,19,24,0.792,72,0.419,72,0.419,15,0.087,11,0.064,12,0.07,2025-26,Regular Season,PostTouch
1631248,Baylor Scheierman,1610612738,BOS,72,50,22,1309.0,1510,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1642879,Ben Saraf,1610612751,BKN,40,9,31,785.0,1805,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1641767,Ben Sheppard,1610612754,IND,65,16,49,1390.0,2203,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1631097,Bennedict Mathurin,1610612746,LAC,49,19,30,1504.0,2571,10,1,2,0.5,5,6,0.833,7,0.7,3,0.3,0,0.0,2,0.2,3,0.3,2025-26,Regular Season,PostTouch
1643016,Bez Mbeng,1610612762,UTA,12,1,11,358.0,436,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1641731,Bilal Coulibaly,1610612764,WAS,53,14,39,1397.0,2398,4,0,1,0.0,2,2,1.0,2,0.5,1,0.25,1,0.25,1,0.25,1,0.25,2025-26,Regular Season,PostTouch
202687,Bismack Biyombo,1610612759,SAS,24,20,4,136.0,159,1,0,0,0.0,0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1642396,Blake Hinson,1610612762,UTA,11,3,8,214.0,255,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1631104,Blake Wesley,1610612757,POR,28,18,10,353.0,758,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1626171,Bobby Portis,1610612749,MIL,67,26,41,1619.0,3093,166,45,85,0.529,13,14,0.929,104,0.627,63,0.38,17,0.102,8,0.048,7,0.042,2025-26,Regular Season,PostTouch
1641752,Bobi Klintman,1610612765,DET,12,8,4,71.0,101,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
203992,Bogdan Bogdanović,1610612746,LAC,21,6,15,429.0,755,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1630538,Bones Hyland,1610612750,MIN,68,41,27,1105.0,2595,1,1,1,1.0,0,0,0.0,2,2.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
203078,Bradley Beal,1610612746,LAC,6,2,4,121.0,177,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1642382,Branden Carlson,1610612760,OKC,38,30,8,393.0,550,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1641764,Brandin Podziemski,1610612744,GSW,77,36,41,2189.0,4696,8,2,2,1.0,0,0,0.0,4,0.5,6,0.75,1,0.125,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1629634,Brandon Clarke,1610612763,MEM,2,1,1,20.0,27,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1627742,Brandon Ingram,1610612761,TOR,72,40,32,2437.0,3951,112,24,55,0.436,8,10,0.8,58,0.518,40,0.357,9,0.08,6,0.054,5,0.045,2025-26,Regular Season,PostTouch
1641706,Brandon Miller,1610612766,CHA,61,39,22,1842.0,3614,15,2,8,0.25,3,4,0.75,7,0.467,4,0.267,0,0.0,1,0.067,2,0.133,2025-26,Regular Season,PostTouch
1630314,Brandon Williams,1610612742,DAL,65,22,43,1438.0,3148,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1641729,Brice Sensabaugh,1610612762,UTA,72,18,54,1679.0,2595,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1642355,Bronny James,1610612747,LAL,37,21,16,292.0,559,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
