PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,POINTS,TOUCHES,FRONT_CT_TOUCHES,TIME_OF_POSS,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,PTS_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,PTS_PER_ELBOW_TOUCH,PTS_PER_POST_TOUCH,PTS_PER_PAINT_TOUCH,SEASON,SEASON_TYPE,PT_MEASURE_TYPE
203078,Bradley Beal,1610612746,LAC,6,2,4,121.0,49,177,109,8.6,2.92,2.54,0.277,1,0,7,0.0,0.0,1.143,2025-26,Regular Season,Possessions
1642382,Branden Carlson,1610612760,OKC,38,30,8,393.0,174,550,292,11.7,1.28,0.24,0.316,21,1,87,0.762,0.0,1.057,2025-26,Regular Season,Possessions
1641764,Brandin Podziemski,1610612744,GSW,77,36,41,2189.0,1038,4696,2256,285.6,3.65,2.94,0.221,60,8,127,0.517,0.5,0.598,2025-26,Regular Season,Possessions
1629634,Brandon Clarke,1610612763,MEM,2,1,1,20.0,8,27,18,1.0,2.24,1.04,0.296,4,0,5,0.5,0.0,0.8,2025-26,Regular Season,Possessions
1627742,Brandon Ingram,1610612761,TOR,72,40,32,2437.0,1538,3951,2692,226.3,3.44,2.34,0.389,72,112,120,0.556,0.518,0.908,2025-26,Regular Season,Possessions
1641706,Brandon Miller,1610612766,CHA,61,39,22,1842.0,1243,3614,1985,193.7,3.22,2.41,0.344,77,15,112,0.597,0.467,0.857,2025-26,Regular Season,Possessions
1630314,Brandon Williams,1610612742,DAL,65,22,43,1438.0,846,3148,1066,267.6,5.1,5.35,0.269,19,0,41,0.632,0.0,0.585,2025-26,Regular Season,Possessions
1641729,Brice Sensabaugh,1610612762,UTA,72,18,54,1679.0,1049,2595,1593,108.6,2.51,1.84,0.404,42,1,59,0.714,0.0,0.627,2025-26,Regular Season,Possessions
1642355,Bronny James,1610612747,LAL,37,21,16,292.0,89,559,249,39.6,4.25,3.87,0.159,0,0,9,0.0,0.0,0.667,2025-26,Regular Season,Possessions
201572,Brook Lopez,1610612746,LAC,70,38,32,1502.0,572,1773,1184,50.0,1.69,0.61,0.323,64,88,120,0.484,0.784,0.892,2025-26,Regular Season,Possessions
1642964,Brooks Barnhizer,1610612760,OKC,37,28,9,283.0,47,303,136,13.2,2.61,2.21,0.155,7,0,18,0.0,0.0,0.444,2025-26,Regular Season,Possessions
1628971,Bruce Brown,1610612743,DEN,77,49,28,1883.0,601,2839,1267,166.4,3.52,2.9,0.212,63,0,183,0.683,0.0,0.76,2025-26,Regular Season,Possessions
1631121,Bryce McGowens,1610612740,NOP,42,14,28,880.0,340,1147,544,42.7,2.23,1.46,0.296,7,1,22,0.714,0.0,1.045,2025-26,Regular Season,Possessions
1642267,Bub Carrington,1610612764,WAS,76,17,59,2100.0,778,4475,1642,312.8,4.19,3.86,0.174,14,6,39,0.429,0.667,0.462,2025-26,Regular Season,Possessions
1631205,Buddy Boeheim,1610612760,OKC,4,2,2,15.0,6,12,10,0.3,1.34,0.59,0.5,0,0,0,0.0,0.0,0.0,2025-26,Regular Season,Possessions
1627741,Buddy Hield,1610612737,ATL,50,25,25,798.0,359,1450,849,48.3,2.0,1.28,0.248,26,1,44,1.0,0.0,0.909,2025-26,Regular Season,Possessions
1643047,CJ Huntley,1610612756,PHX,2,2,0,7.0,2,5,3,0.1,1.14,0.4,0.4,0,0,2,0.0,0.0,1.0,2025-26,Regular Season,Possessions
203468,CJ McCollum,1610612737,ATL,73,36,37,2173.0,1366,4183,1868,324.7,4.66,4.27,0.327,43,3,50,0.721,0.667,0.64,2025-26,Regular Season,Possessions
1630595,Cade Cunningham,1610612765,DET,61,44,17,2096.0,1497,5502,2307,447.4,4.88,4.43,0.272,60,71,89,0.683,0.606,0.787,2025-26,Regular Season,Possessions
1631216,Caleb Houstan,1610612737,ATL,18,12,6,75.0,42,94,74,2.4,1.55,0.52,0.447,2,0,5,1.0,0.0,0.4,2025-26,Regular Season,Possessions
1631126,Caleb Love,1610612757,POR,47,23,24,1009.0,509,1842,850,114.4,3.73,3.44,0.276,11,0,13,0.909,0.0,0.923,2025-26,Regular Season,Possessions
1628997,Caleb Martin,1610612742,DAL,58,20,38,856.0,227,1040,444,54.4,3.14,2.45,0.218,16,1,31,0.188,0.0,0.323,2025-26,Regular Season,Possessions
1642353,Cam Christie,1610612746,LAC,51,24,27,461.0,152,689,340,33.6,2.93,2.38,0.221,6,0,31,0.667,0.0,0.742,2025-26,Regular Season,Possessions
